Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000032 	 0.000240 	 0.057572 	 0.429186
2 	 0.000032 	 0.000241 	 0.057646 	 0.430451
3 	 0.000032 	 0.000241 	 0.057718 	 0.430798
4 	 0.000032 	 0.000241 	 0.057731 	 0.430928
5 	 0.000032 	 0.000241 	 0.057791 	 0.430347
6 	 0.000032 	 0.000241 	 0.057870 	 0.429639
7 	 0.000032 	 0.000240 	 0.057851 	 0.429539
8 	 0.000032 	 0.000240 	 0.057841 	 0.429549
9 	 0.000032 	 0.000241 	 0.057857 	 0.429644
10 	 0.000032 	 0.000241 	 0.057858 	 0.429707
11 	 0.000032 	 0.000240 	 0.057612 	 0.429136
12 	 0.000032 	 0.000240 	 0.057614 	 0.429366
13 	 0.000032 	 0.000240 	 0.057615 	 0.429164
14 	 0.000032 	 0.000240 	 0.057614 	 0.429167
