Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000047 	 0.000233 	 0.084709 	 0.423286
2 	 0.000047 	 0.000233 	 0.084768 	 0.422927
3 	 0.000047 	 0.000234 	 0.084708 	 0.424789
4 	 0.000047 	 0.000233 	 0.084759 	 0.423959
5 	 0.000047 	 0.000234 	 0.084758 	 0.423992
6 	 0.000047 	 0.000233 	 0.084790 	 0.423310
7 	 0.000047 	 0.000234 	 0.084759 	 0.423989
8 	 0.000047 	 0.000233 	 0.084762 	 0.423525
9 	 0.000047 	 0.000233 	 0.084768 	 0.423569
10 	 0.000047 	 0.000233 	 0.084761 	 0.423620
11 	 0.000047 	 0.000233 	 0.084510 	 0.423323
12 	 0.000047 	 0.000233 	 0.084529 	 0.423228
13 	 0.000047 	 0.000233 	 0.084531 	 0.423326
14 	 0.000047 	 0.000233 	 0.084536 	 0.423314
15 	 0.000047 	 0.000233 	 0.084539 	 0.423367
16 	 0.000047 	 0.000233 	 0.084542 	 0.423655
17 	 0.000047 	 0.000233 	 0.084549 	 0.423813
18 	 0.000047 	 0.000233 	 0.084553 	 0.423806
19 	 0.000047 	 0.000233 	 0.084543 	 0.423779
20 	 0.000047 	 0.000233 	 0.084543 	 0.423723
21 	 0.000047 	 0.000233 	 0.084503 	 0.423688
22 	 0.000047 	 0.000233 	 0.084536 	 0.423701
23 	 0.000047 	 0.000233 	 0.084534 	 0.423827
24 	 0.000047 	 0.000234 	 0.084503 	 0.424151
25 	 0.000047 	 0.000234 	 0.084508 	 0.424304
26 	 0.000047 	 0.000234 	 0.084533 	 0.424687
27 	 0.000047 	 0.000234 	 0.084513 	 0.424575
28 	 0.000047 	 0.000234 	 0.084524 	 0.424444
29 	 0.000047 	 0.000234 	 0.084533 	 0.424424
30 	 0.000047 	 0.000234 	 0.084537 	 0.424645
31 	 0.000047 	 0.000234 	 0.084451 	 0.424901
32 	 0.000047 	 0.000234 	 0.084448 	 0.425037
33 	 0.000047 	 0.000234 	 0.084496 	 0.425348
34 	 0.000047 	 0.000234 	 0.084530 	 0.424982
35 	 0.000047 	 0.000234 	 0.084512 	 0.424408
36 	 0.000047 	 0.000234 	 0.084514 	 0.424460
37 	 0.000047 	 0.000234 	 0.084522 	 0.424350
38 	 0.000047 	 0.000233 	 0.084512 	 0.423425
39 	 0.000047 	 0.000233 	 0.084510 	 0.423140
40 	 0.000047 	 0.000233 	 0.084524 	 0.422678
41 	 0.000046 	 0.000233 	 0.084358 	 0.422953
42 	 0.000046 	 0.000234 	 0.084352 	 0.423966
43 	 0.000046 	 0.000234 	 0.084371 	 0.424257
44 	 0.000046 	 0.000233 	 0.084395 	 0.423552
45 	 0.000046 	 0.000233 	 0.084404 	 0.423193
46 	 0.000046 	 0.000233 	 0.084403 	 0.422275
47 	 0.000046 	 0.000233 	 0.084380 	 0.422265
48 	 0.000046 	 0.000233 	 0.084378 	 0.423034
49 	 0.000046 	 0.000233 	 0.084395 	 0.422175
50 	 0.000047 	 0.000232 	 0.084435 	 0.421756
51 	 0.000046 	 0.000232 	 0.084307 	 0.422015
52 	 0.000047 	 0.000234 	 0.084443 	 0.424660
53 	 0.000047 	 0.000233 	 0.084449 	 0.423621
54 	 0.000047 	 0.000233 	 0.084470 	 0.423822
55 	 0.000047 	 0.000235 	 0.084446 	 0.426274
56 	 0.000047 	 0.000234 	 0.084551 	 0.424825
57 	 0.000047 	 0.000235 	 0.084521 	 0.426355
58 	 0.000047 	 0.000235 	 0.084475 	 0.426082
59 	 0.000047 	 0.000235 	 0.084473 	 0.425795
60 	 0.000047 	 0.000235 	 0.084458 	 0.425885
61 	 0.000046 	 0.000234 	 0.084009 	 0.425272
62 	 0.000046 	 0.000233 	 0.084071 	 0.422969
63 	 0.000046 	 0.000233 	 0.084068 	 0.423886
64 	 0.000046 	 0.000234 	 0.084066 	 0.424891
65 	 0.000046 	 0.000234 	 0.084099 	 0.425627
66 	 0.000046 	 0.000235 	 0.084133 	 0.426019
67 	 0.000046 	 0.000235 	 0.084171 	 0.427314
68 	 0.000046 	 0.000235 	 0.084195 	 0.426934
69 	 0.000046 	 0.000235 	 0.084186 	 0.427257
70 	 0.000046 	 0.000235 	 0.084171 	 0.426918
71 	 0.000046 	 0.000235 	 0.083768 	 0.426585
72 	 0.000046 	 0.000235 	 0.083775 	 0.426262
73 	 0.000046 	 0.000235 	 0.083769 	 0.426414
74 	 0.000046 	 0.000235 	 0.083759 	 0.426969
