Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000187 	 0.000436 	 0.424681 	 0.990865
2 	 0.000192 	 0.000462 	 0.436775 	 1.050248
3 	 0.000191 	 0.000438 	 0.433369 	 0.996003
4 	 0.000188 	 0.000423 	 0.427999 	 0.961981
5 	 0.000150 	 0.000484 	 0.341786 	 1.100803
6 	 0.000110 	 0.000365 	 0.250169 	 0.828964
7 	 0.000102 	 0.000342 	 0.231718 	 0.778145
8 	 0.000083 	 0.000358 	 0.188479 	 0.813298
9 	 0.000077 	 0.000251 	 0.174851 	 0.571045
10 	 0.000069 	 0.000278 	 0.156952 	 0.631461
11 	 0.000056 	 0.000293 	 0.126910 	 0.665691
12 	 0.000056 	 0.000273 	 0.128177 	 0.619634
13 	 0.000053 	 0.000277 	 0.120649 	 0.629594
14 	 0.000052 	 0.000284 	 0.117495 	 0.645592
15 	 0.000051 	 0.000286 	 0.115076 	 0.649802
16 	 0.000051 	 0.000277 	 0.115164 	 0.630056
17 	 0.000051 	 0.000271 	 0.115725 	 0.616254
18 	 0.000051 	 0.000260 	 0.115840 	 0.591719
19 	 0.000052 	 0.000258 	 0.119177 	 0.586452
20 	 0.000052 	 0.000268 	 0.117692 	 0.608458
21 	 0.000048 	 0.000265 	 0.110184 	 0.601251
22 	 0.000049 	 0.000262 	 0.111726 	 0.594776
23 	 0.000048 	 0.000277 	 0.108097 	 0.628960
24 	 0.000047 	 0.000256 	 0.107190 	 0.582276
25 	 0.000046 	 0.000247 	 0.104530 	 0.561432
26 	 0.000046 	 0.000243 	 0.105512 	 0.553403
27 	 0.000046 	 0.000240 	 0.105323 	 0.545775
28 	 0.000046 	 0.000244 	 0.105018 	 0.554443
29 	 0.000046 	 0.000242 	 0.105073 	 0.549429
30 	 0.000046 	 0.000240 	 0.105605 	 0.545059
31 	 0.000041 	 0.000239 	 0.093080 	 0.543919
32 	 0.000041 	 0.000239 	 0.092832 	 0.543434
33 	 0.000041 	 0.000240 	 0.092564 	 0.544968
34 	 0.000041 	 0.000240 	 0.092374 	 0.544388
35 	 0.000040 	 0.000236 	 0.091899 	 0.536533
36 	 0.000040 	 0.000228 	 0.091655 	 0.517438
37 	 0.000041 	 0.000223 	 0.092119 	 0.506314
38 	 0.000040 	 0.000226 	 0.091917 	 0.513184
39 	 0.000040 	 0.000226 	 0.091838 	 0.513759
