Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000976 	 0.002143 	 2.144621 	 4.709954
2 	 0.000843 	 0.001494 	 1.853069 	 3.282443
3 	 0.000800 	 0.001487 	 1.758668 	 3.267400
4 	 0.000784 	 0.001491 	 1.722470 	 3.277845
5 	 0.000780 	 0.001403 	 1.714339 	 3.083567
6 	 0.000744 	 0.001437 	 1.634983 	 3.158187
7 	 0.000734 	 0.001389 	 1.613918 	 3.053819
8 	 0.000693 	 0.001169 	 1.524011 	 2.568983
9 	 0.000672 	 0.001132 	 1.477376 	 2.487567
10 	 0.000661 	 0.001086 	 1.451808 	 2.387841
11 	 0.000477 	 0.001142 	 1.048084 	 2.509079
12 	 0.000442 	 0.000925 	 0.970366 	 2.033252
13 	 0.000418 	 0.001015 	 0.918463 	 2.230445
14 	 0.000410 	 0.001056 	 0.901775 	 2.320815
15 	 0.000372 	 0.000971 	 0.818136 	 2.133372
16 	 0.000346 	 0.000905 	 0.760256 	 1.988325
17 	 0.000343 	 0.000898 	 0.754074 	 1.973292
18 	 0.000338 	 0.000880 	 0.741822 	 1.935067
19 	 0.000336 	 0.000880 	 0.739404 	 1.932987
20 	 0.000324 	 0.000873 	 0.712810 	 1.918585
21 	 0.000252 	 0.000750 	 0.553601 	 1.649204
22 	 0.000243 	 0.000699 	 0.534671 	 1.536618
23 	 0.000236 	 0.000699 	 0.518918 	 1.535515
24 	 0.000234 	 0.000698 	 0.513982 	 1.534873
25 	 0.000234 	 0.000694 	 0.514306 	 1.525186
26 	 0.000234 	 0.000684 	 0.515174 	 1.502429
27 	 0.000234 	 0.000692 	 0.514769 	 1.519795
28 	 0.000234 	 0.000687 	 0.515161 	 1.509309
29 	 0.000235 	 0.000680 	 0.516406 	 1.493890
30 	 0.000235 	 0.000669 	 0.517486 	 1.469708
31 	 0.000206 	 0.000636 	 0.452549 	 1.398467
32 	 0.000209 	 0.000582 	 0.459700 	 1.278431
33 	 0.000206 	 0.000496 	 0.453619 	 1.090390
34 	 0.000202 	 0.000487 	 0.442969 	 1.069371
35 	 0.000200 	 0.000488 	 0.438587 	 1.072843
36 	 0.000199 	 0.000502 	 0.438178 	 1.103801
37 	 0.000199 	 0.000496 	 0.437655 	 1.089402
38 	 0.000198 	 0.000482 	 0.436209 	 1.059754
39 	 0.000197 	 0.000490 	 0.432306 	 1.077969
40 	 0.000192 	 0.000510 	 0.422184 	 1.121650
41 	 0.000166 	 0.000454 	 0.364319 	 0.998176
42 	 0.000173 	 0.000487 	 0.380335 	 1.069543
43 	 0.000166 	 0.000492 	 0.365329 	 1.081069
44 	 0.000163 	 0.000499 	 0.357922 	 1.095646
45 	 0.000162 	 0.000491 	 0.356048 	 1.080112
46 	 0.000163 	 0.000483 	 0.357717 	 1.062458
47 	 0.000163 	 0.000476 	 0.358254 	 1.046889
48 	 0.000163 	 0.000472 	 0.358436 	 1.038333
49 	 0.000163 	 0.000474 	 0.358048 	 1.042605
50 	 0.000163 	 0.000475 	 0.357938 	 1.043421
51 	 0.000146 	 0.000470 	 0.321784 	 1.032205
52 	 0.000146 	 0.000477 	 0.321292 	 1.047455
53 	 0.000146 	 0.000475 	 0.320588 	 1.044847
54 	 0.000144 	 0.000473 	 0.317333 	 1.040288
55 	 0.000142 	 0.000458 	 0.312098 	 1.007051
56 	 0.000146 	 0.000449 	 0.321146 	 0.987365
57 	 0.000145 	 0.000450 	 0.319393 	 0.988780
58 	 0.000145 	 0.000449 	 0.318123 	 0.987896
59 	 0.000142 	 0.000450 	 0.312305 	 0.989213
60 	 0.000137 	 0.000447 	 0.300114 	 0.983334
61 	 0.000128 	 0.000447 	 0.281640 	 0.982945
62 	 0.000125 	 0.000430 	 0.273862 	 0.945608
63 	 0.000116 	 0.000429 	 0.255971 	 0.942680
64 	 0.000116 	 0.000423 	 0.254881 	 0.929807
65 	 0.000115 	 0.000423 	 0.253502 	 0.929530
66 	 0.000115 	 0.000424 	 0.253189 	 0.931789
67 	 0.000115 	 0.000423 	 0.253376 	 0.929517
68 	 0.000115 	 0.000423 	 0.253351 	 0.929945
69 	 0.000115 	 0.000423 	 0.253358 	 0.930424
70 	 0.000115 	 0.000424 	 0.253336 	 0.931510
71 	 0.000105 	 0.000424 	 0.231025 	 0.931015
72 	 0.000105 	 0.000427 	 0.231170 	 0.938542
73 	 0.000105 	 0.000426 	 0.230836 	 0.935407
74 	 0.000104 	 0.000419 	 0.229218 	 0.921866
75 	 0.000103 	 0.000440 	 0.226505 	 0.966665
76 	 0.000102 	 0.000455 	 0.224988 	 0.999358
77 	 0.000102 	 0.000462 	 0.224642 	 1.015271
78 	 0.000102 	 0.000460 	 0.224873 	 1.011658
79 	 0.000102 	 0.000459 	 0.225019 	 1.007915
80 	 0.000103 	 0.000454 	 0.225337 	 0.997325
