Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000730 	 0.001319 	 0.386233 	 0.697984
2 	 0.000661 	 0.001290 	 0.349716 	 0.682363
3 	 0.000662 	 0.001245 	 0.350328 	 0.658648
4 	 0.000658 	 0.001244 	 0.348347 	 0.658207
5 	 0.000656 	 0.001139 	 0.347138 	 0.602420
6 	 0.000623 	 0.001135 	 0.329609 	 0.600500
7 	 0.000588 	 0.001021 	 0.311248 	 0.540230
8 	 0.000565 	 0.001071 	 0.298810 	 0.566812
9 	 0.000417 	 0.001152 	 0.220691 	 0.609504
10 	 0.000420 	 0.001073 	 0.222468 	 0.567854
11 	 0.000399 	 0.001098 	 0.211270 	 0.580731
12 	 0.000397 	 0.000944 	 0.210184 	 0.499415
13 	 0.000365 	 0.000960 	 0.192948 	 0.508049
14 	 0.000354 	 0.000907 	 0.187316 	 0.479919
15 	 0.000337 	 0.000852 	 0.178211 	 0.450828
16 	 0.000333 	 0.000879 	 0.176244 	 0.465303
17 	 0.000335 	 0.000858 	 0.177178 	 0.453794
18 	 0.000334 	 0.000858 	 0.176965 	 0.453847
19 	 0.000334 	 0.000854 	 0.176968 	 0.452110
20 	 0.000334 	 0.000853 	 0.176598 	 0.451187
21 	 0.000324 	 0.000833 	 0.171356 	 0.440529
22 	 0.000324 	 0.000836 	 0.171471 	 0.442553
23 	 0.000324 	 0.000834 	 0.171467 	 0.441436
24 	 0.000324 	 0.000834 	 0.171425 	 0.441078
25 	 0.000324 	 0.000833 	 0.171555 	 0.440492
26 	 0.000324 	 0.000832 	 0.171642 	 0.440158
27 	 0.000325 	 0.000828 	 0.171808 	 0.437947
28 	 0.000325 	 0.000826 	 0.171974 	 0.437115
29 	 0.000325 	 0.000818 	 0.171969 	 0.432728
30 	 0.000324 	 0.000812 	 0.171342 	 0.429885
31 	 0.000319 	 0.000805 	 0.168945 	 0.425728
32 	 0.000319 	 0.000806 	 0.168708 	 0.426321
33 	 0.000318 	 0.000809 	 0.168507 	 0.427893
34 	 0.000318 	 0.000810 	 0.168445 	 0.428590
35 	 0.000319 	 0.000806 	 0.168550 	 0.426538
36 	 0.000319 	 0.000807 	 0.168529 	 0.426960
37 	 0.000318 	 0.000807 	 0.168507 	 0.426977
38 	 0.000318 	 0.000807 	 0.168477 	 0.426961
39 	 0.000318 	 0.000807 	 0.168413 	 0.426976
40 	 0.000318 	 0.000807 	 0.168314 	 0.426737
41 	 0.000317 	 0.000806 	 0.167599 	 0.426554
42 	 0.000317 	 0.000806 	 0.167508 	 0.426380
43 	 0.000317 	 0.000805 	 0.167510 	 0.425707
44 	 0.000317 	 0.000805 	 0.167715 	 0.425784
45 	 0.000317 	 0.000804 	 0.167740 	 0.425309
46 	 0.000317 	 0.000804 	 0.167802 	 0.425202
47 	 0.000317 	 0.000803 	 0.167869 	 0.425115
48 	 0.000317 	 0.000803 	 0.167952 	 0.425064
49 	 0.000318 	 0.000804 	 0.167992 	 0.425247
50 	 0.000317 	 0.000804 	 0.167952 	 0.425394
51 	 0.000316 	 0.000804 	 0.167179 	 0.425254
52 	 0.000316 	 0.000804 	 0.167158 	 0.425236
53 	 0.000316 	 0.000804 	 0.167107 	 0.425172
54 	 0.000316 	 0.000803 	 0.167283 	 0.424873
55 	 0.000316 	 0.000803 	 0.167357 	 0.424901
