Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000829 	 0.001938 	 0.438696 	 1.025315
2 	 0.000809 	 0.001543 	 0.428288 	 0.816173
3 	 0.000805 	 0.001522 	 0.426082 	 0.805341
4 	 0.000801 	 0.001577 	 0.423865 	 0.834379
5 	 0.000801 	 0.001570 	 0.423835 	 0.830843
6 	 0.000721 	 0.001708 	 0.381500 	 0.903451
7 	 0.000720 	 0.001706 	 0.381088 	 0.902747
8 	 0.000713 	 0.001744 	 0.377243 	 0.922585
9 	 0.000713 	 0.001745 	 0.377023 	 0.923157
10 	 0.000713 	 0.001744 	 0.377010 	 0.922934
11 	 0.000678 	 0.001710 	 0.358880 	 0.904762
12 	 0.000684 	 0.001655 	 0.362036 	 0.875851
13 	 0.000679 	 0.001662 	 0.359483 	 0.879507
14 	 0.000674 	 0.001630 	 0.356397 	 0.862305
15 	 0.000674 	 0.001556 	 0.356495 	 0.823335
16 	 0.000676 	 0.001504 	 0.357439 	 0.795900
17 	 0.000676 	 0.001488 	 0.357599 	 0.787399
18 	 0.000676 	 0.001479 	 0.357467 	 0.782683
19 	 0.000674 	 0.001466 	 0.356750 	 0.775572
20 	 0.000670 	 0.001450 	 0.354606 	 0.767262
21 	 0.000645 	 0.001427 	 0.341192 	 0.755163
22 	 0.000628 	 0.001478 	 0.332051 	 0.782081
23 	 0.000621 	 0.001447 	 0.328477 	 0.765691
24 	 0.000615 	 0.001520 	 0.325582 	 0.804394
25 	 0.000615 	 0.001506 	 0.325437 	 0.796913
26 	 0.000615 	 0.001502 	 0.325527 	 0.794468
27 	 0.000616 	 0.001489 	 0.326026 	 0.787799
28 	 0.000617 	 0.001486 	 0.326205 	 0.785986
29 	 0.000617 	 0.001483 	 0.326494 	 0.784663
30 	 0.000617 	 0.001484 	 0.326591 	 0.785175
31 	 0.000551 	 0.001487 	 0.291627 	 0.786707
32 	 0.000552 	 0.001491 	 0.292058 	 0.789060
33 	 0.000551 	 0.001491 	 0.291651 	 0.788968
34 	 0.000549 	 0.001490 	 0.290490 	 0.788351
35 	 0.000547 	 0.001487 	 0.289656 	 0.786551
36 	 0.000545 	 0.001470 	 0.288177 	 0.777874
37 	 0.000543 	 0.001458 	 0.287232 	 0.771325
38 	 0.000547 	 0.001426 	 0.289252 	 0.754698
39 	 0.000553 	 0.001393 	 0.292796 	 0.736854
40 	 0.000555 	 0.001378 	 0.293817 	 0.729305
41 	 0.000539 	 0.001369 	 0.285342 	 0.724415
42 	 0.000541 	 0.001367 	 0.286039 	 0.723045
43 	 0.000540 	 0.001369 	 0.285756 	 0.724137
44 	 0.000543 	 0.001376 	 0.287177 	 0.727940
45 	 0.000543 	 0.001375 	 0.287039 	 0.727458
46 	 0.000542 	 0.001371 	 0.286570 	 0.725451
47 	 0.000540 	 0.001369 	 0.285735 	 0.724203
48 	 0.000537 	 0.001367 	 0.284125 	 0.723052
49 	 0.000535 	 0.001371 	 0.282849 	 0.725140
50 	 0.000533 	 0.001384 	 0.282223 	 0.732462
51 	 0.000506 	 0.001390 	 0.267785 	 0.735538
52 	 0.000507 	 0.001398 	 0.268204 	 0.739766
53 	 0.000506 	 0.001397 	 0.267778 	 0.739125
54 	 0.000503 	 0.001393 	 0.266154 	 0.737257
55 	 0.000507 	 0.001390 	 0.268388 	 0.735601
56 	 0.000507 	 0.001387 	 0.268157 	 0.733632
57 	 0.000507 	 0.001387 	 0.268100 	 0.734082
58 	 0.000507 	 0.001388 	 0.268033 	 0.734419
59 	 0.000506 	 0.001387 	 0.267940 	 0.733944
60 	 0.000506 	 0.001383 	 0.267899 	 0.731580
61 	 0.000488 	 0.001376 	 0.257956 	 0.727817
62 	 0.000488 	 0.001406 	 0.257983 	 0.743851
63 	 0.000488 	 0.001405 	 0.258028 	 0.743378
64 	 0.000488 	 0.001409 	 0.257958 	 0.745256
65 	 0.000488 	 0.001406 	 0.258066 	 0.744018
66 	 0.000489 	 0.001400 	 0.258479 	 0.740896
67 	 0.000490 	 0.001386 	 0.259398 	 0.733088
68 	 0.000492 	 0.001372 	 0.260206 	 0.725689
69 	 0.000492 	 0.001366 	 0.260174 	 0.722732
70 	 0.000491 	 0.001367 	 0.259904 	 0.723160
71 	 0.000478 	 0.001367 	 0.252670 	 0.723169
72 	 0.000477 	 0.001367 	 0.252631 	 0.723179
73 	 0.000477 	 0.001367 	 0.252463 	 0.723074
74 	 0.000477 	 0.001365 	 0.252197 	 0.722375
75 	 0.000481 	 0.001362 	 0.254386 	 0.720898
76 	 0.000481 	 0.001362 	 0.254383 	 0.720646
77 	 0.000481 	 0.001362 	 0.254358 	 0.720751
