Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000353 	 0.001011 	 0.208160 	 0.596226
2 	 0.000330 	 0.000761 	 0.194402 	 0.448769
3 	 0.000322 	 0.000751 	 0.189830 	 0.443011
4 	 0.000308 	 0.000691 	 0.181479 	 0.407955
5 	 0.000276 	 0.000575 	 0.163079 	 0.339401
6 	 0.000253 	 0.000591 	 0.149016 	 0.348707
7 	 0.000235 	 0.000640 	 0.138679 	 0.377512
8 	 0.000226 	 0.000636 	 0.133412 	 0.375232
9 	 0.000221 	 0.000616 	 0.130167 	 0.363142
10 	 0.000211 	 0.000648 	 0.124352 	 0.382186
11 	 0.000189 	 0.000675 	 0.111756 	 0.398505
12 	 0.000178 	 0.000650 	 0.105222 	 0.383578
13 	 0.000174 	 0.000572 	 0.102884 	 0.337321
14 	 0.000179 	 0.000517 	 0.105512 	 0.304744
15 	 0.000162 	 0.000488 	 0.095748 	 0.287984
16 	 0.000153 	 0.000491 	 0.090513 	 0.289950
17 	 0.000154 	 0.000469 	 0.090678 	 0.276581
18 	 0.000153 	 0.000459 	 0.090078 	 0.270971
19 	 0.000153 	 0.000456 	 0.090362 	 0.269108
20 	 0.000151 	 0.000459 	 0.089305 	 0.271003
21 	 0.000150 	 0.000453 	 0.088344 	 0.267084
22 	 0.000149 	 0.000452 	 0.087956 	 0.266692
23 	 0.000148 	 0.000458 	 0.087447 	 0.270484
24 	 0.000148 	 0.000455 	 0.087392 	 0.268672
25 	 0.000148 	 0.000455 	 0.087428 	 0.268560
26 	 0.000148 	 0.000455 	 0.087402 	 0.268202
27 	 0.000148 	 0.000453 	 0.087202 	 0.267527
28 	 0.000148 	 0.000452 	 0.087105 	 0.266771
29 	 0.000148 	 0.000452 	 0.087030 	 0.266676
30 	 0.000147 	 0.000451 	 0.086938 	 0.266237
31 	 0.000147 	 0.000453 	 0.086597 	 0.267294
32 	 0.000146 	 0.000459 	 0.086410 	 0.270723
33 	 0.000146 	 0.000457 	 0.086382 	 0.269869
34 	 0.000146 	 0.000452 	 0.085977 	 0.266907
35 	 0.000143 	 0.000429 	 0.084093 	 0.253342
36 	 0.000144 	 0.000368 	 0.084940 	 0.217333
37 	 0.000142 	 0.000364 	 0.083871 	 0.214880
38 	 0.000142 	 0.000352 	 0.083818 	 0.207474
39 	 0.000141 	 0.000350 	 0.083407 	 0.206647
40 	 0.000141 	 0.000351 	 0.083324 	 0.206813
41 	 0.000126 	 0.000351 	 0.074579 	 0.206900
42 	 0.000126 	 0.000351 	 0.074561 	 0.207022
43 	 0.000126 	 0.000351 	 0.074537 	 0.207120
44 	 0.000126 	 0.000351 	 0.074553 	 0.206925
45 	 0.000126 	 0.000349 	 0.074506 	 0.206105
46 	 0.000126 	 0.000343 	 0.074348 	 0.202640
47 	 0.000128 	 0.000364 	 0.075346 	 0.214996
48 	 0.000127 	 0.000358 	 0.075112 	 0.211343
49 	 0.000127 	 0.000357 	 0.075193 	 0.210394
