"index"	"x_prescribed"	"y_prescribed"	"x_match"	"y_match"	"u"	"v"
3942,	-8.368780000000001e-02,	+2.368120000000000e-02,	-8.361008564200258e-02,	+2.359624496388424e-02,	0.998875741268037,	0.499999999846149
3942,	+8.368780000000001e-02,	+2.368120000000000e-02,	+8.360842371645041e-02,	+2.359611179494715e-02,	0.750720307208841,	0.499999992822125
3941,	-8.362242000000000e-02,	+2.374270000000000e-02,	-8.354590365413474e-02,	+2.365890031797604e-02,	0.998807203362271,	0.500000000507346
3941,	+8.362242000000000e-02,	+2.374270000000000e-02,	+8.354432749730584e-02,	+2.365881177543856e-02,	0.750811037140535,	0.500000045794101
3940,	-8.354779000000000e-02,	+2.381291000000000e-02,	-8.347264394598000e-02,	+2.373041746955674e-02,	0.998728971647413,	0.499999999753673
3940,	+8.354779000000000e-02,	+2.381291000000000e-02,	+8.347114905459344e-02,	+2.373039613707013e-02,	0.750914623205320,	0.499999985422637
3939,	-8.346249000000000e-02,	+2.389315000000000e-02,	-8.338891407364779e-02,	+2.381215574182463e-02,	0.998639559176870,	0.500000000278484
3939,	+8.346249000000000e-02,	+2.389315000000000e-02,	+8.338751750206931e-02,	+2.381220590341382e-02,	0.751033005929751,	0.499999996352007
3938,	-8.336496000000000e-02,	+2.398490000000000e-02,	-8.329317657808732e-02,	+2.390561602380521e-02,	0.998537324146966,	0.499999999503415
3938,	+8.336496000000000e-02,	+2.398490000000000e-02,	+8.329189997922246e-02,	+2.390574054394564e-02,	0.751168355119336,	0.499999988409508
3937,	-8.325349999999999e-02,	+2.408975000000000e-02,	-8.318376728741270e-02,	+2.401242290336563e-02,	0.998420489441417,	0.500000001141738
3937,	+8.325349999999999e-02,	+2.408975000000000e-02,	+8.318261000075912e-02,	+2.401264980644214e-02,	0.751323058039620,	0.500000020805926
3936,	-8.312601000000000e-02,	+2.420968000000000e-02,	-8.305862923880758e-02,	+2.413458441637231e-02,	0.998286858494980,	0.500000001003916
3936,	+8.312601000000000e-02,	+2.420968000000000e-02,	+8.305760764515185e-02,	+2.413492917584271e-02,	0.751500002254697,	0.499999985803502
3935,	-8.298036000000000e-02,	+2.434669000000000e-02,	-8.291565997237732e-02,	+2.427415301357556e-02,	0.998134186157530,	0.500000000759108
3935,	+8.298036000000000e-02,	+2.434669000000000e-02,	+8.291470696765427e-02,	+2.427438557796239e-02,	0.751654328654229,	0.499999981429163
3934,	-8.278294000000000e-02,	+2.453240000000000e-02,	-8.272186715413324e-02,	+2.446317576638014e-02,	0.997926298977560,	0.499999998157252
3934,	+8.278294000000000e-02,	+2.453240000000000e-02,	+8.272090465310779e-02,	+2.446350998153972e-02,	0.751862646278312,	0.499999999987435
3933,	-8.244393999999999e-02,	+2.485128000000000e-02,	-8.238868303892849e-02,	+2.478760411448949e-02,	0.997565627327834,	0.499999999996314
3933,	+8.244393999999999e-02,	+2.485128000000000e-02,	+8.238812276041188e-02,	+2.478825933824755e-02,	0.752220352703989,	0.500000004487071
3932,	-8.186594000000000e-02,	+2.539494000000000e-02,	-8.182061225481843e-02,	+2.534074652941148e-02,	0.996950690968277,	0.499999997824817
3932,	+8.186594000000000e-02,	+2.539494000000000e-02,	+8.182073965488915e-02,	+2.534194721180556e-02,	0.752830231387657,	0.500000038269173
3931,	-8.103233000000000e-02,	+2.617888000000000e-02,	-8.100140177738827e-02,	+2.613842892127222e-02,	0.996063896007521,	0.500000003258996
3931,	+8.103233000000000e-02,	+2.617888000000000e-02,	+8.100227348566452e-02,	+2.614009940859949e-02,	0.753712776038405,	0.499999993836334
3930,	-8.013935000000000e-02,	+2.701843000000000e-02,	-8.012285614408983e-02,	+2.699162518822144e-02,	0.995100860486972,	0.500000001935803
3930,	+8.013935000000000e-02,	+2.701843000000000e-02,	+8.012455057380456e-02,	+2.699404170266443e-02,	0.754669147460517,	0.499999991486053
3929,	-7.924805000000000e-02,	+2.785609000000000e-02,	-7.924594558354493e-02,	+2.784304887104785e-02,	0.994138636663938,	0.500000000390658
