Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000412 	 0.001028 	 0.243256 	 0.606749
2 	 0.000362 	 0.001169 	 0.213339 	 0.689699
3 	 0.000363 	 0.001185 	 0.214191 	 0.699048
4 	 0.000364 	 0.001175 	 0.214937 	 0.693015
5 	 0.000358 	 0.001146 	 0.211355 	 0.676365
6 	 0.000262 	 0.001009 	 0.154701 	 0.595519
7 	 0.000257 	 0.000973 	 0.151734 	 0.573860
8 	 0.000252 	 0.000920 	 0.148528 	 0.542732
9 	 0.000251 	 0.000949 	 0.147899 	 0.559637
10 	 0.000250 	 0.000957 	 0.147370 	 0.564415
11 	 0.000206 	 0.000949 	 0.121392 	 0.559903
12 	 0.000207 	 0.000926 	 0.122264 	 0.546204
13 	 0.000208 	 0.000920 	 0.122810 	 0.543064
14 	 0.000204 	 0.000919 	 0.120295 	 0.542051
15 	 0.000194 	 0.000891 	 0.114605 	 0.525551
16 	 0.000204 	 0.000838 	 0.120533 	 0.494144
17 	 0.000200 	 0.000813 	 0.118241 	 0.479449
18 	 0.000199 	 0.000795 	 0.117210 	 0.468834
19 	 0.000192 	 0.000746 	 0.113534 	 0.439890
20 	 0.000185 	 0.000695 	 0.109307 	 0.410014
21 	 0.000185 	 0.000672 	 0.109087 	 0.396225
22 	 0.000182 	 0.000682 	 0.107468 	 0.402212
23 	 0.000181 	 0.000685 	 0.106581 	 0.404299
24 	 0.000180 	 0.000683 	 0.106427 	 0.403230
25 	 0.000180 	 0.000680 	 0.106340 	 0.401038
26 	 0.000180 	 0.000674 	 0.106362 	 0.397829
27 	 0.000181 	 0.000663 	 0.106556 	 0.390985
28 	 0.000181 	 0.000646 	 0.107066 	 0.381136
29 	 0.000183 	 0.000637 	 0.107949 	 0.375944
30 	 0.000184 	 0.000639 	 0.108715 	 0.376961
31 	 0.000181 	 0.000642 	 0.107061 	 0.378803
32 	 0.000182 	 0.000654 	 0.107577 	 0.385855
33 	 0.000182 	 0.000652 	 0.107483 	 0.384579
34 	 0.000183 	 0.000646 	 0.107839 	 0.381275
35 	 0.000183 	 0.000643 	 0.108236 	 0.379585
36 	 0.000184 	 0.000643 	 0.108346 	 0.379547
37 	 0.000184 	 0.000643 	 0.108353 	 0.379578
38 	 0.000184 	 0.000644 	 0.108359 	 0.379647
39 	 0.000184 	 0.000644 	 0.108368 	 0.379732
40 	 0.000184 	 0.000644 	 0.108378 	 0.379785
41 	 0.000181 	 0.000642 	 0.106817 	 0.379004
42 	 0.000181 	 0.000642 	 0.106813 	 0.378874
43 	 0.000181 	 0.000641 	 0.106751 	 0.378419
44 	 0.000181 	 0.000640 	 0.106711 	 0.377646
45 	 0.000181 	 0.000640 	 0.106697 	 0.377489
46 	 0.000181 	 0.000639 	 0.106654 	 0.377058
47 	 0.000181 	 0.000638 	 0.106600 	 0.376569
48 	 0.000181 	 0.000639 	 0.106822 	 0.376875
49 	 0.000182 	 0.000637 	 0.107340 	 0.375547
50 	 0.000183 	 0.000637 	 0.107920 	 0.376022
51 	 0.000181 	 0.000639 	 0.106674 	 0.376865
52 	 0.000181 	 0.000642 	 0.106923 	 0.378607
53 	 0.000181 	 0.000642 	 0.106915 	 0.378580
54 	 0.000181 	 0.000641 	 0.106922 	 0.378411
55 	 0.000181 	 0.000640 	 0.107010 	 0.377819
56 	 0.000183 	 0.000637 	 0.107869 	 0.375957
57 	 0.000183 	 0.000638 	 0.107827 	 0.376175
