Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000040 	 0.000252 	 0.109223 	 0.684662
2 	 0.000040 	 0.000252 	 0.109466 	 0.684107
3 	 0.000040 	 0.000252 	 0.109743 	 0.683722
4 	 0.000040 	 0.000252 	 0.109706 	 0.685096
5 	 0.000040 	 0.000250 	 0.109895 	 0.679827
6 	 0.000041 	 0.000247 	 0.110325 	 0.671787
7 	 0.000041 	 0.000248 	 0.111475 	 0.672516
8 	 0.000041 	 0.000249 	 0.111640 	 0.676680
9 	 0.000041 	 0.000251 	 0.110875 	 0.681420
10 	 0.000041 	 0.000252 	 0.110532 	 0.683406
11 	 0.000040 	 0.000251 	 0.109221 	 0.680418
12 	 0.000040 	 0.000250 	 0.109480 	 0.678272
13 	 0.000040 	 0.000249 	 0.109602 	 0.675886
14 	 0.000040 	 0.000248 	 0.109654 	 0.673533
15 	 0.000041 	 0.000248 	 0.110032 	 0.672371
16 	 0.000041 	 0.000249 	 0.110329 	 0.677528
17 	 0.000041 	 0.000250 	 0.110856 	 0.677743
18 	 0.000041 	 0.000251 	 0.110032 	 0.680778
19 	 0.000040 	 0.000249 	 0.109959 	 0.676614
20 	 0.000040 	 0.000249 	 0.109979 	 0.676107
21 	 0.000040 	 0.000249 	 0.108695 	 0.675365
22 	 0.000040 	 0.000248 	 0.108537 	 0.673336
23 	 0.000040 	 0.000248 	 0.108439 	 0.674282
24 	 0.000040 	 0.000248 	 0.108726 	 0.673980
25 	 0.000040 	 0.000248 	 0.109534 	 0.672560
26 	 0.000041 	 0.000246 	 0.110324 	 0.668939
27 	 0.000041 	 0.000246 	 0.110873 	 0.667213
28 	 0.000041 	 0.000246 	 0.110157 	 0.667244
29 	 0.000041 	 0.000246 	 0.110155 	 0.667137
30 	 0.000041 	 0.000246 	 0.110240 	 0.667122
31 	 0.000040 	 0.000245 	 0.108187 	 0.666784
32 	 0.000040 	 0.000245 	 0.109376 	 0.666310
33 	 0.000040 	 0.000245 	 0.109432 	 0.665612
34 	 0.000041 	 0.000244 	 0.110100 	 0.661366
35 	 0.000041 	 0.000242 	 0.110884 	 0.658476
36 	 0.000041 	 0.000241 	 0.110972 	 0.654112
37 	 0.000041 	 0.000242 	 0.110527 	 0.656805
38 	 0.000040 	 0.000243 	 0.109966 	 0.659215
39 	 0.000040 	 0.000243 	 0.109766 	 0.659935
