Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000068 	 0.000381 	 0.181721 	 1.023704
2 	 0.000068 	 0.000380 	 0.181671 	 1.021004
3 	 0.000068 	 0.000379 	 0.181578 	 1.019109
4 	 0.000068 	 0.000379 	 0.181534 	 1.020330
5 	 0.000068 	 0.000377 	 0.181795 	 1.013331
6 	 0.000068 	 0.000375 	 0.181857 	 1.008277
7 	 0.000068 	 0.000374 	 0.181519 	 1.005568
8 	 0.000068 	 0.000372 	 0.182454 	 0.999877
9 	 0.000068 	 0.000372 	 0.182392 	 1.000718
10 	 0.000068 	 0.000373 	 0.182549 	 1.001624
11 	 0.000065 	 0.000373 	 0.175071 	 1.001811
12 	 0.000065 	 0.000373 	 0.174915 	 1.003655
13 	 0.000065 	 0.000373 	 0.173663 	 1.003032
14 	 0.000065 	 0.000369 	 0.175211 	 0.992718
15 	 0.000065 	 0.000364 	 0.175834 	 0.979003
16 	 0.000065 	 0.000367 	 0.174586 	 0.986842
17 	 0.000065 	 0.000367 	 0.174693 	 0.986680
18 	 0.000065 	 0.000367 	 0.174776 	 0.986610
19 	 0.000065 	 0.000367 	 0.174904 	 0.987455
20 	 0.000065 	 0.000368 	 0.174861 	 0.990560
21 	 0.000059 	 0.000371 	 0.157415 	 0.998832
22 	 0.000058 	 0.000384 	 0.156105 	 1.031859
23 	 0.000058 	 0.000382 	 0.155673 	 1.027887
24 	 0.000058 	 0.000384 	 0.155562 	 1.031528
