Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000141 	 0.000606 	 0.210000 	 0.905498
2 	 0.000137 	 0.000593 	 0.205359 	 0.885812
3 	 0.000118 	 0.000549 	 0.176106 	 0.819528
4 	 0.000114 	 0.000560 	 0.169709 	 0.835882
5 	 0.000110 	 0.000563 	 0.164221 	 0.841394
6 	 0.000110 	 0.000550 	 0.164642 	 0.822043
7 	 0.000110 	 0.000537 	 0.164358 	 0.801912
8 	 0.000111 	 0.000529 	 0.165242 	 0.789492
9 	 0.000110 	 0.000535 	 0.164283 	 0.799861
10 	 0.000109 	 0.000527 	 0.162988 	 0.786976
11 	 0.000097 	 0.000545 	 0.144695 	 0.813818
12 	 0.000097 	 0.000537 	 0.145259 	 0.801914
13 	 0.000097 	 0.000539 	 0.144678 	 0.804596
14 	 0.000096 	 0.000529 	 0.144144 	 0.790092
15 	 0.000095 	 0.000540 	 0.142627 	 0.807074
16 	 0.000095 	 0.000537 	 0.141745 	 0.802005
17 	 0.000095 	 0.000532 	 0.142196 	 0.795057
18 	 0.000095 	 0.000533 	 0.141991 	 0.796528
19 	 0.000095 	 0.000530 	 0.141680 	 0.791284
20 	 0.000094 	 0.000525 	 0.141065 	 0.784038
21 	 0.000090 	 0.000525 	 0.134045 	 0.784202
22 	 0.000090 	 0.000522 	 0.134886 	 0.779593
23 	 0.000090 	 0.000527 	 0.134241 	 0.787815
24 	 0.000090 	 0.000512 	 0.134846 	 0.764687
25 	 0.000090 	 0.000501 	 0.134518 	 0.747987
26 	 0.000089 	 0.000516 	 0.133026 	 0.770409
27 	 0.000088 	 0.000518 	 0.131348 	 0.773187
28 	 0.000086 	 0.000523 	 0.128641 	 0.781356
29 	 0.000087 	 0.000517 	 0.129617 	 0.772955
30 	 0.000087 	 0.000515 	 0.129558 	 0.769906
31 	 0.000087 	 0.000542 	 0.130430 	 0.810374
32 	 0.000087 	 0.000547 	 0.129727 	 0.817311
33 	 0.000085 	 0.000551 	 0.126684 	 0.823568
34 	 0.000085 	 0.000553 	 0.126441 	 0.825748
35 	 0.000084 	 0.000557 	 0.124778 	 0.832672
36 	 0.000082 	 0.000529 	 0.123147 	 0.790325
37 	 0.000081 	 0.000529 	 0.120874 	 0.790436
38 	 0.000081 	 0.000536 	 0.120555 	 0.800149
39 	 0.000080 	 0.000501 	 0.119496 	 0.748344
40 	 0.000079 	 0.000514 	 0.118682 	 0.767967
41 	 0.000077 	 0.000508 	 0.114556 	 0.759458
42 	 0.000077 	 0.000507 	 0.114524 	 0.756935
43 	 0.000077 	 0.000510 	 0.114925 	 0.761149
44 	 0.000077 	 0.000516 	 0.114853 	 0.770515
45 	 0.000077 	 0.000516 	 0.114896 	 0.770793
46 	 0.000077 	 0.000509 	 0.114491 	 0.760531
47 	 0.000076 	 0.000506 	 0.113702 	 0.756485
48 	 0.000076 	 0.000505 	 0.113380 	 0.754559
49 	 0.000076 	 0.000512 	 0.113213 	 0.764344
50 	 0.000076 	 0.000511 	 0.113140 	 0.763740
51 	 0.000075 	 0.000506 	 0.111777 	 0.756181
52 	 0.000075 	 0.000500 	 0.112183 	 0.747386
53 	 0.000075 	 0.000501 	 0.112013 	 0.748703
54 	 0.000075 	 0.000494 	 0.112152 	 0.738047
55 	 0.000075 	 0.000496 	 0.112121 	 0.741376
56 	 0.000075 	 0.000500 	 0.111917 	 0.746371
57 	 0.000075 	 0.000499 	 0.111810 	 0.746005
58 	 0.000075 	 0.000499 	 0.111869 	 0.745578
59 	 0.000075 	 0.000500 	 0.111850 	 0.746268
60 	 0.000075 	 0.000499 	 0.111887 	 0.744734
61 	 0.000074 	 0.000497 	 0.110285 	 0.742495
62 	 0.000074 	 0.000496 	 0.110370 	 0.740773
63 	 0.000074 	 0.000499 	 0.110702 	 0.745388
64 	 0.000074 	 0.000494 	 0.110555 	 0.738613
65 	 0.000074 	 0.000494 	 0.110464 	 0.738447
66 	 0.000074 	 0.000490 	 0.110405 	 0.731399
67 	 0.000074 	 0.000485 	 0.110774 	 0.724189
68 	 0.000074 	 0.000485 	 0.110692 	 0.725134
69 	 0.000074 	 0.000486 	 0.110656 	 0.726707
70 	 0.000074 	 0.000484 	 0.110675 	 0.723543
71 	 0.000073 	 0.000484 	 0.109396 	 0.722518
72 	 0.000073 	 0.000483 	 0.109478 	 0.721334
73 	 0.000073 	 0.000483 	 0.109451 	 0.720834
74 	 0.000073 	 0.000482 	 0.109398 	 0.719318
75 	 0.000073 	 0.000483 	 0.109653 	 0.721760
76 	 0.000073 	 0.000479 	 0.109590 	 0.716059
77 	 0.000073 	 0.000475 	 0.109529 	 0.709971
78 	 0.000073 	 0.000471 	 0.109576 	 0.704065
79 	 0.000074 	 0.000465 	 0.109924 	 0.695144
80 	 0.000074 	 0.000465 	 0.109937 	 0.694085
81 	 0.000073 	 0.000463 	 0.108674 	 0.692241
82 	 0.000073 	 0.000461 	 0.108748 	 0.688061
83 	 0.000073 	 0.000462 	 0.108687 	 0.689801
84 	 0.000073 	 0.000462 	 0.108805 	 0.690794
85 	 0.000073 	 0.000463 	 0.108855 	 0.691400
86 	 0.000073 	 0.000458 	 0.109159 	 0.684580
87 	 0.000073 	 0.000458 	 0.108963 	 0.684116
88 	 0.000073 	 0.000459 	 0.108844 	 0.684992
89 	 0.000073 	 0.000458 	 0.108971 	 0.684208
90 	 0.000073 	 0.000457 	 0.109082 	 0.683124
91 	 0.000072 	 0.000456 	 0.107955 	 0.681628
92 	 0.000072 	 0.000455 	 0.108095 	 0.679096
93 	 0.000072 	 0.000454 	 0.108090 	 0.678227
94 	 0.000072 	 0.000454 	 0.108087 	 0.678032
95 	 0.000072 	 0.000452 	 0.108106 	 0.675765
96 	 0.000072 	 0.000452 	 0.108117 	 0.675415
97 	 0.000072 	 0.000451 	 0.108291 	 0.673732
98 	 0.000073 	 0.000449 	 0.108362 	 0.671350
99 	 0.000073 	 0.000447 	 0.108445 	 0.667537
100 	 0.000073 	 0.000445 	 0.108411 	 0.665133
101 	 0.000072 	 0.000444 	 0.107646 	 0.663043
102 	 0.000072 	 0.000443 	 0.107651 	 0.661655
103 	 0.000072 	 0.000443 	 0.107636 	 0.661534
104 	 0.000072 	 0.000438 	 0.107724 	 0.654544
105 	 0.000072 	 0.000441 	 0.107775 	 0.658297
106 	 0.000072 	 0.000442 	 0.107733 	 0.659793
107 	 0.000072 	 0.000442 	 0.107749 	 0.660430
108 	 0.000072 	 0.000441 	 0.107817 	 0.659062
109 	 0.000072 	 0.000439 	 0.107925 	 0.656514
110 	 0.000072 	 0.000438 	 0.107982 	 0.653705
111 	 0.000072 	 0.000437 	 0.107328 	 0.652575
112 	 0.000072 	 0.000435 	 0.107519 	 0.649917
113 	 0.000072 	 0.000436 	 0.107396 	 0.651239
114 	 0.000072 	 0.000437 	 0.107352 	 0.652539
115 	 0.000072 	 0.000437 	 0.107350 	 0.653476
116 	 0.000072 	 0.000437 	 0.107473 	 0.653315
117 	 0.000072 	 0.000437 	 0.107591 	 0.652124
118 	 0.000072 	 0.000435 	 0.107680 	 0.650497
119 	 0.000072 	 0.000435 	 0.107685 	 0.649727
120 	 0.000072 	 0.000435 	 0.107642 	 0.649403
121 	 0.000072 	 0.000435 	 0.106951 	 0.649867
122 	 0.000072 	 0.000436 	 0.106983 	 0.651062
123 	 0.000072 	 0.000436 	 0.106984 	 0.651625
124 	 0.000072 	 0.000435 	 0.107074 	 0.650168
125 	 0.000072 	 0.000435 	 0.107055 	 0.650437
126 	 0.000072 	 0.000434 	 0.107052 	 0.648683
127 	 0.000072 	 0.000434 	 0.107114 	 0.648188
128 	 0.000072 	 0.000433 	 0.107256 	 0.646633
129 	 0.000072 	 0.000433 	 0.107345 	 0.646893
130 	 0.000072 	 0.000433 	 0.107382 	 0.646655
131 	 0.000071 	 0.000433 	 0.106602 	 0.646972
132 	 0.000071 	 0.000433 	 0.106653 	 0.647541
133 	 0.000071 	 0.000433 	 0.106634 	 0.647027
134 	 0.000071 	 0.000433 	 0.106592 	 0.646831
135 	 0.000071 	 0.000431 	 0.106737 	 0.643853
136 	 0.000071 	 0.000431 	 0.106794 	 0.644428
137 	 0.000072 	 0.000431 	 0.106899 	 0.643471
138 	 0.000072 	 0.000431 	 0.106923 	 0.643884
139 	 0.000072 	 0.000431 	 0.106942 	 0.643648
