Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000134 	 0.000838 	 0.200097 	 1.254816
2 	 0.000127 	 0.000833 	 0.190598 	 1.247458
3 	 0.000119 	 0.000911 	 0.177633 	 1.363443
4 	 0.000117 	 0.000932 	 0.174545 	 1.395699
5 	 0.000116 	 0.000953 	 0.173817 	 1.427445
6 	 0.000115 	 0.000987 	 0.172888 	 1.478047
7 	 0.000114 	 0.001008 	 0.171090 	 1.509466
8 	 0.000113 	 0.000991 	 0.169499 	 1.484305
9 	 0.000113 	 0.000996 	 0.169616 	 1.490783
10 	 0.000112 	 0.001003 	 0.168082 	 1.501846
11 	 0.000106 	 0.000845 	 0.158445 	 1.265369
12 	 0.000106 	 0.000834 	 0.159377 	 1.248785
13 	 0.000106 	 0.000846 	 0.158617 	 1.266847
14 	 0.000106 	 0.000853 	 0.158661 	 1.276565
15 	 0.000106 	 0.000847 	 0.158913 	 1.267309
16 	 0.000106 	 0.000843 	 0.158699 	 1.261742
17 	 0.000106 	 0.000834 	 0.158743 	 1.248910
18 	 0.000107 	 0.000844 	 0.159749 	 1.263861
19 	 0.000106 	 0.000856 	 0.158811 	 1.281125
20 	 0.000105 	 0.000856 	 0.157440 	 1.280900
21 	 0.000094 	 0.000872 	 0.140962 	 1.305154
22 	 0.000095 	 0.000866 	 0.141741 	 1.296115
23 	 0.000095 	 0.000845 	 0.141582 	 1.265284
24 	 0.000095 	 0.000834 	 0.141731 	 1.248482
25 	 0.000095 	 0.000823 	 0.142102 	 1.232669
26 	 0.000095 	 0.000813 	 0.142931 	 1.216789
27 	 0.000097 	 0.000789 	 0.144855 	 1.181060
28 	 0.000096 	 0.000767 	 0.144177 	 1.148902
29 	 0.000095 	 0.000768 	 0.142107 	 1.149454
30 	 0.000095 	 0.000761 	 0.141612 	 1.138946
31 	 0.000085 	 0.000760 	 0.127410 	 1.137540
32 	 0.000085 	 0.000751 	 0.127859 	 1.123727
33 	 0.000084 	 0.000750 	 0.126151 	 1.123474
34 	 0.000084 	 0.000748 	 0.126217 	 1.119157
35 	 0.000082 	 0.000714 	 0.123039 	 1.068593
36 	 0.000078 	 0.000693 	 0.116847 	 1.036985
37 	 0.000077 	 0.000660 	 0.114622 	 0.988419
38 	 0.000074 	 0.000697 	 0.111300 	 1.044156
39 	 0.000074 	 0.000679 	 0.111212 	 1.017114
40 	 0.000074 	 0.000667 	 0.111155 	 0.997982
41 	 0.000069 	 0.000670 	 0.103140 	 1.002348
42 	 0.000069 	 0.000650 	 0.103852 	 0.973050
43 	 0.000069 	 0.000651 	 0.103734 	 0.973909
44 	 0.000069 	 0.000663 	 0.103964 	 0.992908
45 	 0.000070 	 0.000666 	 0.104065 	 0.996947
46 	 0.000070 	 0.000667 	 0.104256 	 0.998272
47 	 0.000069 	 0.000645 	 0.103517 	 0.965732
48 	 0.000069 	 0.000645 	 0.103724 	 0.965267
49 	 0.000069 	 0.000645 	 0.103464 	 0.965207
50 	 0.000069 	 0.000647 	 0.103784 	 0.969271
51 	 0.000068 	 0.000648 	 0.101114 	 0.970650
52 	 0.000068 	 0.000634 	 0.101778 	 0.949121
53 	 0.000068 	 0.000610 	 0.101647 	 0.912900
54 	 0.000068 	 0.000607 	 0.101654 	 0.908332
55 	 0.000068 	 0.000600 	 0.101878 	 0.898729
56 	 0.000068 	 0.000589 	 0.101870 	 0.882067
57 	 0.000068 	 0.000589 	 0.101907 	 0.882080
58 	 0.000068 	 0.000590 	 0.101907 	 0.882712
59 	 0.000068 	 0.000589 	 0.101965 	 0.881651
60 	 0.000068 	 0.000589 	 0.102024 	 0.882269
61 	 0.000067 	 0.000587 	 0.099615 	 0.879033
62 	 0.000067 	 0.000583 	 0.099944 	 0.872339
63 	 0.000067 	 0.000583 	 0.099815 	 0.873302
64 	 0.000067 	 0.000582 	 0.099734 	 0.871943
65 	 0.000067 	 0.000580 	 0.099668 	 0.868612
66 	 0.000067 	 0.000579 	 0.099606 	 0.866380
67 	 0.000067 	 0.000573 	 0.099879 	 0.857667
68 	 0.000067 	 0.000567 	 0.100031 	 0.849433
69 	 0.000067 	 0.000560 	 0.100104 	 0.837891
70 	 0.000067 	 0.000554 	 0.100181 	 0.828846
71 	 0.000066 	 0.000550 	 0.098498 	 0.823653
72 	 0.000066 	 0.000550 	 0.098744 	 0.823306
73 	 0.000066 	 0.000549 	 0.098686 	 0.821951
74 	 0.000066 	 0.000549 	 0.098705 	 0.821367
75 	 0.000066 	 0.000548 	 0.098760 	 0.820577
76 	 0.000066 	 0.000548 	 0.098919 	 0.820999
77 	 0.000066 	 0.000549 	 0.099133 	 0.821752
