Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000014 	 0.000177 	 0.020087 	 0.251328
2 	 0.000014 	 0.000174 	 0.019956 	 0.246513
3 	 0.000014 	 0.000172 	 0.020389 	 0.244124
4 	 0.000015 	 0.000171 	 0.020611 	 0.242321
5 	 0.000015 	 0.000157 	 0.020614 	 0.223305
6 	 0.000015 	 0.000150 	 0.021052 	 0.213034
7 	 0.000015 	 0.000140 	 0.021449 	 0.198673
8 	 0.000015 	 0.000139 	 0.021255 	 0.197521
9 	 0.000015 	 0.000135 	 0.021252 	 0.191839
10 	 0.000015 	 0.000135 	 0.021155 	 0.191232
11 	 0.000014 	 0.000133 	 0.019567 	 0.189261
12 	 0.000014 	 0.000133 	 0.020165 	 0.187940
13 	 0.000015 	 0.000132 	 0.020737 	 0.186779
14 	 0.000015 	 0.000134 	 0.020955 	 0.189506
15 	 0.000014 	 0.000130 	 0.020190 	 0.183893
16 	 0.000014 	 0.000128 	 0.020413 	 0.181104
17 	 0.000014 	 0.000128 	 0.020276 	 0.181945
18 	 0.000014 	 0.000124 	 0.020092 	 0.176178
19 	 0.000014 	 0.000114 	 0.020015 	 0.161504
20 	 0.000013 	 0.000107 	 0.018247 	 0.151817
21 	 0.000011 	 0.000098 	 0.016064 	 0.139668
22 	 0.000012 	 0.000080 	 0.016636 	 0.113749
23 	 0.000012 	 0.000077 	 0.016532 	 0.109519
24 	 0.000012 	 0.000076 	 0.016321 	 0.108473
25 	 0.000011 	 0.000076 	 0.016270 	 0.107780
26 	 0.000012 	 0.000074 	 0.016719 	 0.104866
27 	 0.000012 	 0.000074 	 0.016545 	 0.104240
28 	 0.000012 	 0.000073 	 0.016429 	 0.103970
29 	 0.000012 	 0.000072 	 0.016450 	 0.102616
30 	 0.000012 	 0.000070 	 0.016560 	 0.099934
31 	 0.000011 	 0.000066 	 0.015777 	 0.093567
32 	 0.000011 	 0.000065 	 0.015894 	 0.091945
33 	 0.000011 	 0.000063 	 0.016036 	 0.089349
34 	 0.000011 	 0.000062 	 0.016096 	 0.088610
35 	 0.000011 	 0.000061 	 0.015896 	 0.086319
36 	 0.000011 	 0.000060 	 0.015921 	 0.084440
37 	 0.000011 	 0.000059 	 0.015948 	 0.083853
38 	 0.000011 	 0.000059 	 0.015944 	 0.083512
39 	 0.000011 	 0.000058 	 0.016014 	 0.082280
40 	 0.000011 	 0.000058 	 0.016063 	 0.082117
