Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000056 	 0.000405 	 0.079389 	 0.572789
2 	 0.000056 	 0.000403 	 0.079380 	 0.569728
3 	 0.000056 	 0.000402 	 0.079501 	 0.568487
4 	 0.000056 	 0.000403 	 0.079511 	 0.569846
5 	 0.000056 	 0.000396 	 0.079710 	 0.560556
6 	 0.000056 	 0.000395 	 0.079713 	 0.558210
7 	 0.000056 	 0.000396 	 0.079822 	 0.559719
8 	 0.000057 	 0.000398 	 0.079922 	 0.563087
9 	 0.000056 	 0.000398 	 0.079723 	 0.563347
10 	 0.000056 	 0.000398 	 0.079727 	 0.563441
11 	 0.000055 	 0.000400 	 0.078201 	 0.565410
12 	 0.000055 	 0.000400 	 0.078203 	 0.566306
13 	 0.000055 	 0.000403 	 0.078186 	 0.570071
14 	 0.000055 	 0.000403 	 0.078099 	 0.570527
15 	 0.000055 	 0.000404 	 0.077954 	 0.570821
16 	 0.000055 	 0.000406 	 0.077809 	 0.573914
17 	 0.000055 	 0.000407 	 0.077752 	 0.576346
18 	 0.000055 	 0.000409 	 0.077863 	 0.578998
19 	 0.000055 	 0.000408 	 0.077824 	 0.577702
20 	 0.000055 	 0.000407 	 0.077863 	 0.576339
21 	 0.000054 	 0.000405 	 0.076923 	 0.572258
22 	 0.000054 	 0.000402 	 0.076934 	 0.568618
23 	 0.000054 	 0.000399 	 0.077020 	 0.564787
24 	 0.000054 	 0.000399 	 0.077060 	 0.564007
25 	 0.000055 	 0.000400 	 0.077146 	 0.565657
26 	 0.000055 	 0.000402 	 0.077101 	 0.569253
27 	 0.000054 	 0.000403 	 0.077080 	 0.570674
28 	 0.000054 	 0.000404 	 0.077054 	 0.570884
29 	 0.000054 	 0.000404 	 0.077029 	 0.571057
30 	 0.000054 	 0.000404 	 0.077029 	 0.570906
31 	 0.000054 	 0.000403 	 0.076120 	 0.569543
32 	 0.000054 	 0.000402 	 0.076153 	 0.568587
33 	 0.000054 	 0.000401 	 0.076188 	 0.567518
34 	 0.000054 	 0.000398 	 0.076343 	 0.563055
35 	 0.000054 	 0.000391 	 0.076501 	 0.553061
36 	 0.000054 	 0.000380 	 0.076967 	 0.537568
37 	 0.000055 	 0.000377 	 0.077213 	 0.532550
38 	 0.000055 	 0.000374 	 0.077557 	 0.528534
39 	 0.000055 	 0.000374 	 0.077570 	 0.528392
40 	 0.000055 	 0.000373 	 0.077576 	 0.528044
41 	 0.000034 	 0.000372 	 0.048759 	 0.526627
42 	 0.000035 	 0.000369 	 0.049008 	 0.522129
43 	 0.000036 	 0.000369 	 0.050606 	 0.522021
44 	 0.000037 	 0.000361 	 0.051899 	 0.510710
45 	 0.000037 	 0.000362 	 0.052317 	 0.511565
46 	 0.000037 	 0.000362 	 0.052077 	 0.512425
47 	 0.000037 	 0.000363 	 0.052227 	 0.512799
48 	 0.000037 	 0.000364 	 0.052301 	 0.515404
49 	 0.000037 	 0.000368 	 0.052122 	 0.521026
50 	 0.000037 	 0.000374 	 0.051702 	 0.529215
51 	 0.000029 	 0.000378 	 0.040375 	 0.535074
52 	 0.000029 	 0.000383 	 0.041277 	 0.541648
