Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000192 	 0.000517 	 0.879595 	 2.372391
2 	 0.000165 	 0.000471 	 0.757274 	 2.161508
3 	 0.000166 	 0.000507 	 0.759861 	 2.325568
4 	 0.000165 	 0.000507 	 0.757956 	 2.325375
5 	 0.000170 	 0.000508 	 0.780646 	 2.331439
6 	 0.000169 	 0.000526 	 0.773829 	 2.413412
7 	 0.000166 	 0.000517 	 0.761902 	 2.371512
8 	 0.000166 	 0.000517 	 0.759884 	 2.372008
9 	 0.000165 	 0.000516 	 0.756017 	 2.368319
10 	 0.000147 	 0.000549 	 0.676004 	 2.518228
11 	 0.000159 	 0.000344 	 0.728387 	 1.578490
12 	 0.000121 	 0.000378 	 0.556429 	 1.734090
13 	 0.000119 	 0.000382 	 0.548121 	 1.750077
14 	 0.000119 	 0.000384 	 0.545416 	 1.760649
15 	 0.000119 	 0.000379 	 0.545889 	 1.740464
16 	 0.000119 	 0.000380 	 0.545559 	 1.744585
17 	 0.000119 	 0.000381 	 0.545423 	 1.746605
18 	 0.000119 	 0.000382 	 0.544961 	 1.750417
19 	 0.000118 	 0.000382 	 0.543063 	 1.754450
20 	 0.000118 	 0.000379 	 0.539754 	 1.739248
21 	 0.000109 	 0.000368 	 0.501962 	 1.686549
22 	 0.000110 	 0.000356 	 0.505756 	 1.633780
23 	 0.000110 	 0.000349 	 0.505965 	 1.602828
24 	 0.000110 	 0.000353 	 0.503946 	 1.618327
25 	 0.000109 	 0.000355 	 0.502163 	 1.628347
26 	 0.000108 	 0.000363 	 0.497585 	 1.663223
27 	 0.000108 	 0.000363 	 0.497390 	 1.667222
28 	 0.000108 	 0.000364 	 0.497189 	 1.667983
29 	 0.000108 	 0.000364 	 0.497239 	 1.667659
30 	 0.000108 	 0.000363 	 0.497212 	 1.665042
31 	 0.000106 	 0.000360 	 0.486692 	 1.651370
32 	 0.000107 	 0.000354 	 0.489435 	 1.624180
33 	 0.000106 	 0.000351 	 0.487839 	 1.609735
34 	 0.000105 	 0.000336 	 0.482962 	 1.539197
35 	 0.000104 	 0.000282 	 0.474821 	 1.294716
36 	 0.000105 	 0.000262 	 0.480363 	 1.201811
37 	 0.000105 	 0.000263 	 0.479387 	 1.204983
38 	 0.000103 	 0.000262 	 0.470563 	 1.199583
39 	 0.000101 	 0.000244 	 0.463753 	 1.118853
40 	 0.000101 	 0.000240 	 0.463334 	 1.101053
41 	 0.000090 	 0.000240 	 0.412436 	 1.102814
42 	 0.000090 	 0.000241 	 0.414340 	 1.104403
43 	 0.000090 	 0.000241 	 0.413281 	 1.104695
44 	 0.000089 	 0.000239 	 0.409890 	 1.097241
45 	 0.000089 	 0.000238 	 0.409285 	 1.089830
46 	 0.000090 	 0.000231 	 0.410959 	 1.058069
47 	 0.000090 	 0.000228 	 0.413295 	 1.044771
48 	 0.000090 	 0.000222 	 0.412731 	 1.020222
49 	 0.000090 	 0.000225 	 0.411627 	 1.033280
50 	 0.000090 	 0.000225 	 0.411159 	 1.031746
51 	 0.000085 	 0.000225 	 0.389345 	 1.029996
52 	 0.000085 	 0.000222 	 0.389771 	 1.020121
53 	 0.000085 	 0.000222 	 0.388777 	 1.016222
54 	 0.000084 	 0.000220 	 0.385622 	 1.007971
55 	 0.000085 	 0.000216 	 0.387619 	 0.991428
56 	 0.000084 	 0.000217 	 0.387529 	 0.996409
57 	 0.000084 	 0.000217 	 0.387299 	 0.995831
58 	 0.000084 	 0.000217 	 0.385889 	 0.993695
59 	 0.000083 	 0.000216 	 0.382883 	 0.992005
60 	 0.000083 	 0.000217 	 0.382276 	 0.993513
61 	 0.000081 	 0.000217 	 0.370452 	 0.997580
62 	 0.000081 	 0.000222 	 0.372198 	 1.019651
63 	 0.000081 	 0.000219 	 0.369746 	 1.006412
64 	 0.000081 	 0.000219 	 0.369712 	 1.004445
65 	 0.000081 	 0.000218 	 0.369984 	 1.001539
66 	 0.000081 	 0.000218 	 0.369984 	 1.001727
