Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000431 	 0.002275 	 2.395378 	 12.655040
2 	 0.000430 	 0.002229 	 2.391479 	 12.398361
3 	 0.000420 	 0.002310 	 2.339339 	 12.850988
4 	 0.000412 	 0.002344 	 2.292768 	 13.040756
5 	 0.000416 	 0.002359 	 2.313062 	 13.122091
6 	 0.000416 	 0.002369 	 2.313267 	 13.177837
7 	 0.000417 	 0.002360 	 2.317371 	 13.129069
8 	 0.000415 	 0.002382 	 2.307981 	 13.251062
9 	 0.000405 	 0.002384 	 2.254741 	 13.261373
10 	 0.000424 	 0.002359 	 2.361012 	 13.121661
11 	 0.000405 	 0.002044 	 2.251684 	 11.373908
12 	 0.000415 	 0.002064 	 2.310028 	 11.484361
13 	 0.000408 	 0.002018 	 2.268881 	 11.225908
14 	 0.000411 	 0.001997 	 2.289036 	 11.108775
15 	 0.000409 	 0.001973 	 2.272811 	 10.973860
16 	 0.000405 	 0.002020 	 2.252959 	 11.239672
17 	 0.000404 	 0.002054 	 2.247961 	 11.426989
18 	 0.000392 	 0.002131 	 2.181236 	 11.853756
19 	 0.000385 	 0.002062 	 2.141632 	 11.471126
20 	 0.000382 	 0.002057 	 2.124821 	 11.443920
21 	 0.000341 	 0.001712 	 1.894736 	 9.526841
22 	 0.000343 	 0.001684 	 1.908835 	 9.369869
23 	 0.000353 	 0.001787 	 1.961094 	 9.942288
24 	 0.000353 	 0.001743 	 1.963147 	 9.696104
25 	 0.000330 	 0.001686 	 1.835026 	 9.382062
26 	 0.000319 	 0.001658 	 1.774110 	 9.225603
27 	 0.000308 	 0.001658 	 1.714838 	 9.222755
28 	 0.000299 	 0.001717 	 1.663054 	 9.552694
29 	 0.000299 	 0.001752 	 1.663422 	 9.747711
30 	 0.000298 	 0.001741 	 1.655879 	 9.688364
31 	 0.000253 	 0.001277 	 1.409560 	 7.105172
32 	 0.000254 	 0.001267 	 1.413378 	 7.050960
33 	 0.000252 	 0.001270 	 1.401091 	 7.066503
34 	 0.000251 	 0.001217 	 1.398817 	 6.770323
35 	 0.000255 	 0.001204 	 1.419799 	 6.700325
36 	 0.000254 	 0.001180 	 1.413236 	 6.561989
37 	 0.000250 	 0.001168 	 1.392495 	 6.499302
38 	 0.000248 	 0.001164 	 1.379340 	 6.475292
39 	 0.000247 	 0.001157 	 1.374446 	 6.437802
40 	 0.000247 	 0.001156 	 1.372821 	 6.431566
41 	 0.000226 	 0.001155 	 1.258778 	 6.426548
42 	 0.000227 	 0.001154 	 1.262703 	 6.421918
43 	 0.000227 	 0.001160 	 1.260991 	 6.454475
44 	 0.000227 	 0.001154 	 1.261221 	 6.421471
45 	 0.000226 	 0.001156 	 1.258035 	 6.430350
46 	 0.000227 	 0.001146 	 1.261750 	 6.376209
47 	 0.000229 	 0.001131 	 1.273597 	 6.292565
48 	 0.000232 	 0.001090 	 1.289927 	 6.066477
49 	 0.000232 	 0.001048 	 1.292362 	 5.832835
50 	 0.000230 	 0.001017 	 1.278816 	 5.656978
51 	 0.000197 	 0.000996 	 1.095129 	 5.542313
52 	 0.000200 	 0.000956 	 1.112854 	 5.316739
53 	 0.000194 	 0.000962 	 1.080182 	 5.352417
54 	 0.000191 	 0.000921 	 1.062315 	 5.124307
55 	 0.000190 	 0.000916 	 1.056325 	 5.093805
56 	 0.000189 	 0.000899 	 1.052953 	 4.999270
57 	 0.000189 	 0.000883 	 1.053466 	 4.910489
58 	 0.000189 	 0.000876 	 1.051313 	 4.872301
59 	 0.000188 	 0.000879 	 1.043983 	 4.891070
60 	 0.000187 	 0.000879 	 1.041940 	 4.889762
61 	 0.000171 	 0.000883 	 0.950989 	 4.912707
62 	 0.000173 	 0.000878 	 0.960058 	 4.884027
63 	 0.000172 	 0.000863 	 0.956067 	 4.803327
64 	 0.000172 	 0.000902 	 0.954547 	 5.015699
65 	 0.000172 	 0.000906 	 0.957336 	 5.040497
66 	 0.000171 	 0.000931 	 0.951315 	 5.178308
67 	 0.000171 	 0.000916 	 0.953831 	 5.097427
68 	 0.000171 	 0.000914 	 0.950356 	 5.082744
69 	 0.000170 	 0.000913 	 0.947101 	 5.079749
70 	 0.000170 	 0.000918 	 0.947229 	 5.108045
71 	 0.000163 	 0.000916 	 0.905811 	 5.096894
72 	 0.000165 	 0.000908 	 0.916777 	 5.050585
73 	 0.000164 	 0.000930 	 0.911717 	 5.172822
74 	 0.000164 	 0.000966 	 0.914029 	 5.373910
75 	 0.000164 	 0.000969 	 0.911454 	 5.390704
76 	 0.000163 	 0.000962 	 0.909038 	 5.353681
77 	 0.000163 	 0.000961 	 0.908148 	 5.345303
78 	 0.000163 	 0.000961 	 0.909039 	 5.345626
79 	 0.000164 	 0.000960 	 0.912767 	 5.338502
80 	 0.000164 	 0.000960 	 0.913274 	 5.340074
81 	 0.000156 	 0.000959 	 0.867815 	 5.334289
82 	 0.000159 	 0.000957 	 0.883202 	 5.324052
83 	 0.000157 	 0.000950 	 0.872445 	 5.284467
84 	 0.000156 	 0.000956 	 0.867353 	 5.316314
85 	 0.000156 	 0.000949 	 0.868882 	 5.282067
86 	 0.000156 	 0.000930 	 0.870545 	 5.173366
87 	 0.000156 	 0.000926 	 0.866459 	 5.150910
88 	 0.000156 	 0.000887 	 0.868505 	 4.932845
89 	 0.000156 	 0.000909 	 0.866863 	 5.055024
90 	 0.000155 	 0.000903 	 0.864988 	 5.025102
91 	 0.000145 	 0.000903 	 0.807226 	 5.021483
92 	 0.000146 	 0.000898 	 0.812606 	 4.993646
93 	 0.000145 	 0.000895 	 0.806303 	 4.980802
94 	 0.000145 	 0.000838 	 0.807162 	 4.660985
95 	 0.000145 	 0.000836 	 0.809453 	 4.653512
96 	 0.000145 	 0.000836 	 0.805435 	 4.651000
97 	 0.000145 	 0.000834 	 0.805919 	 4.637269
98 	 0.000145 	 0.000832 	 0.805443 	 4.630146
99 	 0.000145 	 0.000824 	 0.804950 	 4.584503
100 	 0.000144 	 0.000809 	 0.803669 	 4.503244
101 	 0.000137 	 0.000809 	 0.763755 	 4.498936
102 	 0.000138 	 0.000805 	 0.766381 	 4.479471
103 	 0.000138 	 0.000802 	 0.765297 	 4.459535
104 	 0.000137 	 0.000777 	 0.761008 	 4.320045
105 	 0.000138 	 0.000733 	 0.769125 	 4.075577
106 	 0.000138 	 0.000728 	 0.767794 	 4.052756
107 	 0.000138 	 0.000731 	 0.767543 	 4.064438
108 	 0.000138 	 0.000734 	 0.767302 	 4.083580
109 	 0.000138 	 0.000739 	 0.766972 	 4.111381
110 	 0.000138 	 0.000744 	 0.766722 	 4.140631
111 	 0.000133 	 0.000745 	 0.740761 	 4.145345
112 	 0.000135 	 0.000748 	 0.753318 	 4.161957
113 	 0.000134 	 0.000737 	 0.747119 	 4.099566
114 	 0.000134 	 0.000723 	 0.744486 	 4.021720
115 	 0.000134 	 0.000714 	 0.744320 	 3.972621
116 	 0.000134 	 0.000720 	 0.744582 	 4.006946
117 	 0.000134 	 0.000722 	 0.746530 	 4.015532
118 	 0.000134 	 0.000715 	 0.747618 	 3.977511
119 	 0.000134 	 0.000711 	 0.747456 	 3.955002
120 	 0.000134 	 0.000710 	 0.747175 	 3.950568
121 	 0.000130 	 0.000708 	 0.724090 	 3.941480
122 	 0.000130 	 0.000705 	 0.725857 	 3.924484
123 	 0.000130 	 0.000705 	 0.724202 	 3.924230
124 	 0.000130 	 0.000717 	 0.720861 	 3.987077
125 	 0.000131 	 0.000743 	 0.731077 	 4.130910
126 	 0.000131 	 0.000745 	 0.730193 	 4.143293
127 	 0.000131 	 0.000746 	 0.728986 	 4.148096
128 	 0.000131 	 0.000752 	 0.726436 	 4.183712
129 	 0.000130 	 0.000765 	 0.724320 	 4.258261
130 	 0.000129 	 0.000783 	 0.718932 	 4.356520
131 	 0.000123 	 0.000790 	 0.686450 	 4.397092
132 	 0.000125 	 0.000788 	 0.695320 	 4.382793
133 	 0.000124 	 0.000784 	 0.689998 	 4.362676
134 	 0.000123 	 0.000783 	 0.686494 	 4.356892
135 	 0.000123 	 0.000781 	 0.685736 	 4.345932
136 	 0.000123 	 0.000783 	 0.685601 	 4.354396
137 	 0.000123 	 0.000783 	 0.685597 	 4.353905
138 	 0.000123 	 0.000784 	 0.685391 	 4.359419
139 	 0.000123 	 0.000783 	 0.684828 	 4.358059
140 	 0.000123 	 0.000783 	 0.683065 	 4.358015
141 	 0.000118 	 0.000776 	 0.655607 	 4.316002
142 	 0.000117 	 0.000746 	 0.651197 	 4.147839
143 	 0.000116 	 0.000751 	 0.644921 	 4.175922
144 	 0.000114 	 0.000723 	 0.634356 	 4.023766
145 	 0.000114 	 0.000720 	 0.635846 	 4.005195
146 	 0.000114 	 0.000722 	 0.635128 	 4.014467
147 	 0.000114 	 0.000722 	 0.635126 	 4.015988
148 	 0.000114 	 0.000721 	 0.635698 	 4.012072
149 	 0.000114 	 0.000720 	 0.636429 	 4.005428
150 	 0.000114 	 0.000718 	 0.636880 	 3.996637
151 	 0.000110 	 0.000715 	 0.613931 	 3.977370
152 	 0.000113 	 0.000687 	 0.629442 	 3.821660
153 	 0.000111 	 0.000696 	 0.615480 	 3.869688
154 	 0.000110 	 0.000706 	 0.610493 	 3.925964
155 	 0.000110 	 0.000709 	 0.612110 	 3.943210
156 	 0.000110 	 0.000708 	 0.612619 	 3.940033
157 	 0.000110 	 0.000708 	 0.612629 	 3.936831
158 	 0.000110 	 0.000707 	 0.612695 	 3.933617
159 	 0.000110 	 0.000705 	 0.612856 	 3.923383
160 	 0.000110 	 0.000703 	 0.613233 	 3.908592
161 	 0.000108 	 0.000696 	 0.599355 	 3.871684
162 	 0.000110 	 0.000686 	 0.613955 	 3.815605
163 	 0.000108 	 0.000682 	 0.603343 	 3.793737
164 	 0.000107 	 0.000676 	 0.593600 	 3.759495
165 	 0.000108 	 0.000674 	 0.598652 	 3.747649
166 	 0.000108 	 0.000674 	 0.601063 	 3.751588
167 	 0.000108 	 0.000676 	 0.600898 	 3.759520
168 	 0.000108 	 0.000677 	 0.600760 	 3.764834
169 	 0.000108 	 0.000678 	 0.600568 	 3.773601
170 	 0.000108 	 0.000683 	 0.600184 	 3.798212
171 	 0.000105 	 0.000686 	 0.585378 	 3.816639
172 	 0.000106 	 0.000693 	 0.587309 	 3.856523
173 	 0.000106 	 0.000690 	 0.587139 	 3.839694
174 	 0.000106 	 0.000682 	 0.590138 	 3.794163
175 	 0.000106 	 0.000682 	 0.591071 	 3.791860
176 	 0.000106 	 0.000682 	 0.591466 	 3.793759
177 	 0.000106 	 0.000684 	 0.590879 	 3.805882
178 	 0.000106 	 0.000685 	 0.590464 	 3.808994
179 	 0.000106 	 0.000686 	 0.589724 	 3.815756
180 	 0.000106 	 0.000688 	 0.588742 	 3.825911
181 	 0.000105 	 0.000689 	 0.583043 	 3.830659
182 	 0.000106 	 0.000688 	 0.589657 	 3.829464
183 	 0.000105 	 0.000686 	 0.586615 	 3.816382
184 	 0.000106 	 0.000663 	 0.587046 	 3.690549
185 	 0.000106 	 0.000662 	 0.589186 	 3.684856
186 	 0.000106 	 0.000660 	 0.589824 	 3.673525
187 	 0.000106 	 0.000660 	 0.589492 	 3.673324
188 	 0.000106 	 0.000661 	 0.588296 	 3.676502
189 	 0.000106 	 0.000661 	 0.588080 	 3.674677
190 	 0.000106 	 0.000662 	 0.588070 	 3.682535
191 	 0.000103 	 0.000664 	 0.574593 	 3.694771
192 	 0.000104 	 0.000679 	 0.579772 	 3.780189
193 	 0.000104 	 0.000679 	 0.576851 	 3.777382
194 	 0.000104 	 0.000668 	 0.577349 	 3.713767
195 	 0.000104 	 0.000681 	 0.581328 	 3.786494
196 	 0.000104 	 0.000681 	 0.580861 	 3.788864
197 	 0.000104 	 0.000678 	 0.580794 	 3.774270
198 	 0.000104 	 0.000680 	 0.580703 	 3.780962
199 	 0.000104 	 0.000680 	 0.580408 	 3.784313
200 	 0.000104 	 0.000680 	 0.579533 	 3.782579
201 	 0.000100 	 0.000678 	 0.557428 	 3.773872
202 	 0.000100 	 0.000674 	 0.555873 	 3.748785
203 	 0.000100 	 0.000669 	 0.555801 	 3.723690
204 	 0.000101 	 0.000657 	 0.563679 	 3.655673
205 	 0.000101 	 0.000658 	 0.561991 	 3.662800
206 	 0.000101 	 0.000659 	 0.561803 	 3.664206
207 	 0.000101 	 0.000659 	 0.561763 	 3.665477
208 	 0.000101 	 0.000660 	 0.561783 	 3.670957
209 	 0.000101 	 0.000661 	 0.562014 	 3.677269
210 	 0.000101 	 0.000662 	 0.562420 	 3.684260
211 	 0.000099 	 0.000662 	 0.549835 	 3.683974
212 	 0.000099 	 0.000661 	 0.551919 	 3.677297
213 	 0.000099 	 0.000660 	 0.551498 	 3.671559
214 	 0.000099 	 0.000650 	 0.551458 	 3.617128
215 	 0.000099 	 0.000647 	 0.551020 	 3.600050
216 	 0.000099 	 0.000647 	 0.551694 	 3.599118
217 	 0.000099 	 0.000645 	 0.553251 	 3.587820
218 	 0.000099 	 0.000644 	 0.553306 	 3.585296
219 	 0.000099 	 0.000645 	 0.553377 	 3.585557
220 	 0.000099 	 0.000644 	 0.553427 	 3.584207
221 	 0.000098 	 0.000644 	 0.543037 	 3.582346
222 	 0.000098 	 0.000644 	 0.544338 	 3.580975
223 	 0.000098 	 0.000643 	 0.543673 	 3.576656
224 	 0.000097 	 0.000642 	 0.541309 	 3.572052
225 	 0.000097 	 0.000630 	 0.542295 	 3.506974
226 	 0.000098 	 0.000632 	 0.542919 	 3.518266
227 	 0.000098 	 0.000631 	 0.542847 	 3.509326
228 	 0.000098 	 0.000631 	 0.542805 	 3.509596
229 	 0.000098 	 0.000631 	 0.542712 	 3.510145
230 	 0.000097 	 0.000631 	 0.542413 	 3.511182
231 	 0.000095 	 0.000631 	 0.529764 	 3.509865
232 	 0.000095 	 0.000631 	 0.530117 	 3.512450
233 	 0.000095 	 0.000631 	 0.530016 	 3.510578
234 	 0.000095 	 0.000630 	 0.530400 	 3.506020
235 	 0.000096 	 0.000632 	 0.532310 	 3.517913
236 	 0.000096 	 0.000632 	 0.532648 	 3.517183
237 	 0.000096 	 0.000631 	 0.533077 	 3.508813
238 	 0.000096 	 0.000632 	 0.532788 	 3.516426
239 	 0.000096 	 0.000632 	 0.532359 	 3.517168
240 	 0.000096 	 0.000632 	 0.532199 	 3.517665
241 	 0.000095 	 0.000632 	 0.525858 	 3.516708
242 	 0.000094 	 0.000632 	 0.525646 	 3.515508
243 	 0.000094 	 0.000633 	 0.525157 	 3.522819
244 	 0.000095 	 0.000635 	 0.528151 	 3.532028
245 	 0.000095 	 0.000636 	 0.528085 	 3.536831
246 	 0.000095 	 0.000636 	 0.528067 	 3.538263
247 	 0.000095 	 0.000636 	 0.527996 	 3.540152
248 	 0.000095 	 0.000638 	 0.527820 	 3.547803
249 	 0.000095 	 0.000638 	 0.527331 	 3.551464
250 	 0.000095 	 0.000645 	 0.526699 	 3.588043
251 	 0.000093 	 0.000638 	 0.519678 	 3.550446
252 	 0.000093 	 0.000639 	 0.517358 	 3.556129
253 	 0.000093 	 0.000643 	 0.517950 	 3.577865
254 	 0.000093 	 0.000639 	 0.518188 	 3.556636
255 	 0.000093 	 0.000639 	 0.517721 	 3.556380
256 	 0.000093 	 0.000639 	 0.517796 	 3.557393
