"index"	"x_prescribed"	"y_prescribed"	"z_prescribed"	"x_match"	"y_match"	"z_match"	"u"	"v"
48263	+1.121378211000000e-01	-9.714708135199999e-04	+2.387948117600000e-04	+1.121802160178117e-01	-9.977775555895562e-04	+2.387140585763299e-04	0.998445150020088	0.104107225070704
3618	+1.121378211000000e-01	-9.714708135199999e-04	+7.689833531900000e-04	+1.121808538073447e-01	-9.986188109664725e-04	+7.688849962110244e-04	0.998487602117779	0.542610648904447
3614	+1.121223685400000e-01	-9.897252064000001e-04	+7.692329286600000e-04	+1.121682113119848e-01	-1.018691430190967e-03	+7.691085954545336e-04	0.999579753127944	0.542907806364019
48261	+1.121223685400000e-01	-9.897252064000001e-04	+2.390168192300000e-04	+1.121676901561306e-01	-1.017872592732484e-03	+2.389386727249954e-04	0.999536190108107	0.104480178840321
3610	+1.121041903600000e-01	-1.006239895400000e-03	+7.695271908900000e-04	+1.121397856756089e-01	-1.047029427540686e-03	+7.694565784331082e-04	0.001506668332737	0.543408347546391
48259	+1.121041903600000e-01	-1.006239895400000e-03	+2.392785773700000e-04	+1.121398216240128e-01	-1.046358873673958e-03	+2.392399675834743e-04	0.001451960361584	0.105110557902248
46991	+1.121502464700000e-01	-9.518976260100000e-04	+2.386168690700000e-04	+1.121926891417689e-01	-9.640098606227968e-04	+2.385213144641457e-04	0.996815532436387	0.103755379154662
1073	+1.121502464700000e-01	-9.518976260100000e-04	+7.687833142900000e-04	+1.121938261691455e-01	-9.644671543275557e-04	+7.685875059622111e-04	0.996831642800145	0.542242351168662
3615	+1.121223685400000e-01	-9.897252064000001e-04	+1.299449038100000e-03	+1.121687818696658e-01	-1.019446607270609e-03	+1.299294881241496e-03	0.999620400208084	0.981348469037886
3619	+1.121378211000000e-01	-9.714708135199999e-04	+1.299171894600000e-03	+1.121814945952229e-01	-9.994363352694307e-04	+1.299041990506317e-03	0.998530371197643	0.981100024973579
3606	+1.120833491600000e-01	-1.020507994600000e-03	+7.698652063600001e-04	+1.121041892765975e-01	-1.066512384395411e-03	+7.698102728426091e-04	0.003471578412229	0.543896252495420
48257	+1.120833491600000e-01	-1.020507994600000e-03	+2.395792558000000e-04	+1.121045834908195e-01	-1.066248864183290e-03	+2.395830905253086e-04	0.003420384720383	0.105810755561455
3611	+1.121041903600000e-01	-1.006239895400000e-03	+1.299775804400000e-03	+1.121397730106870e-01	-1.047721535447599e-03	+1.299693221680521e-03	0.001561947621109	0.981723598020095
46990	+1.121603039100000e-01	-9.311032193400000e-04	+2.384733987600000e-04	+1.121984144444839e-01	-9.328068343480545e-04	+2.384050464659834e-04	0.995446904894438	0.103570195613220
1074	+1.121603039100000e-01	-9.311032193400000e-04	+7.686220284000000e-04	+1.121997087399941e-01	-9.329154279515821e-04	+7.685187841455097e-04	0.995445658232262	0.542128269397197
1072	+1.121502464700000e-01	-9.518976260100000e-04	+1.298949759500000e-03	+1.121949289872480e-01	-9.649947853915803e-04	+1.298851140425121e-03	0.996853857073322	0.980892670438721
3602	+1.120600962000000e-01	-1.032146326400000e-03	+7.702429462900000e-04	+1.120675178434312e-01	-1.075738158283666e-03	+7.702551039946606e-04	0.005205371128459	0.544378605587675
48255	+1.120600962000000e-01	-1.032146326400000e-03	+2.399152707300000e-04	+1.120679010599230e-01	-1.075876442165408e-03	+2.398963772363181e-04	0.005172922688380	0.106421509713501
3607	+1.120833491600000e-01	-1.020507994600000e-03	+1.300151156900000e-03	+1.121039003772585e-01	-1.066785367569362e-03	+1.300120576371573e-03	0.003520240686281	0.982057245170591
46992	+1.121678661400000e-01	-9.085488895700000e-04	+2.383663024500000e-04	+1.121994724020923e-01	-9.099467452018698e-04	+2.383019399411953e-04	0.994518151328074	0.103470371201237
1076	+1.121678661400000e-01	-9.085488895700000e-04	+7.685016332900000e-04	+1.122007850054823e-01	-9.099972408530232e-04	+7.683618377611022e-04	0.994514005175655	0.541989007672392
1075	+1.121603039100000e-01	-9.311032193400000e-04	+1.298770658000000e-03	+1.122009959250519e-01	-9.331146514029312e-04	+1.298563800883833e-03	0.995451855783728	0.980629641791413
3598	+1.120348345900000e-01	-1.040910847200000e-03	+7.706696126500000e-04	+1.120336184435741e-01	-1.078365638391976e-03	+7.706936121956396e-04	0.006649326611761	0.544774159346898
48253	+1.120348345900000e-01	-1.040910847200000e-03	+2.402965452700000e-04	+1.120339132777288e-01	-1.078706342857394e-03	+2.403219051415865e-04	0.006632830752511	0.107029231184888
3603	+1.120600962000000e-01	-1.032146326400000e-03	+1.300570621800000e-03	+1.120671089121293e-01	-1.075658928009511e-03	+1.300567022166470e-03	0.005242857282585	0.982314486436181
46994	+1.121731026900000e-01	-8.847606016700000e-04	+2.382930434400000e-04	+1.121979998218739e-01	-8.814843981929097e-04	+2.383221547019840e-04	0.993426835031719	0.103515054630154
1080	+1.121731026900000e-01	-8.847606016700000e-04	+7.684192772700000e-04	+1.121992382397305e-01	-8.811656246603117e-04	+7.683532001434643e-04	0.993409342650860	0.542000264605015
1077	+1.121678661400000e-01	-9.085488895700000e-04	+1.298636964100000e-03	+1.122020864335292e-01	-9.102070263502979e-04	+1.298625021807143e-03	0.994521039364422	0.980675957473921
3594	+1.120079542500000e-01	-1.046720961000000e-03	+7.711316430600000e-04	+1.120069344613302e-01	-1.077590918050513e-03	+7.711510041712540e-04	0.007709234883048	0.545135786377073
48251	+1.120079542500000e-01	-1.046720961000000e-03	+2.407083976900000e-04	+1.120072113226193e-01	-1.077972356367802e-03	+2.407273613898598e-04	0.007699943440751	0.107523844431182
3599	+1.120348345900000e-01	-1.040910847200000e-03	+1.301042680000000e-03	+1.120333217435909e-01	-1.078063370017656e-03	+1.301062556634315e-03	0.006670390189939	0.982545482320395
46996	+1.121759522500000e-01	-8.599525610000000e-04	+2.382544768700000e-04	+1.121947468926208e-01	-8.573471862837152e-04	+2.380258328640240e-04	0.992548064189549	0.103326692166743
1084	+1.121759522500000e-01	-8.599525610000000e-04	+7.683759216600000e-04	+1.121959848885237e-01	-8.571725185215472e-04	+7.682404315725696e-04	0.992535722450722	0.541942791125382
