Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000011 	 0.000058 	 0.047642 	 0.243510
2 	 0.000011 	 0.000057 	 0.047981 	 0.239457
3 	 0.000012 	 0.000057 	 0.048324 	 0.236584
4 	 0.000012 	 0.000056 	 0.048460 	 0.235550
5 	 0.000012 	 0.000056 	 0.048623 	 0.233990
6 	 0.000012 	 0.000056 	 0.048653 	 0.233368
7 	 0.000012 	 0.000056 	 0.048633 	 0.233502
8 	 0.000012 	 0.000056 	 0.048624 	 0.233305
9 	 0.000012 	 0.000056 	 0.048613 	 0.232774
10 	 0.000012 	 0.000056 	 0.048602 	 0.232225
11 	 0.000011 	 0.000055 	 0.047905 	 0.230351
