"index"	"x_prescribed"	"y_prescribed"	"z_prescribed"	"x_match"	"y_match"	"z_match"	"u"	"v"
48263	+1.121378211000000e-01	-9.714708135199999e-04	+2.387948117600000e-04	+1.121337610649328e-01	-9.695421253494044e-04	+2.387275369160450e-04	0.110881124426463	0.000010000000000
3618	+1.121378211000000e-01	-9.714708135199999e-04	+7.689833531900000e-04	+1.121330918231378e-01	-9.689052453787909e-04	+7.689008437355321e-04	0.110418163595548	0.470093308120355
3614	+1.121223685400000e-01	-9.897252064000001e-04	+7.692329286600000e-04	+1.121212079875287e-01	-9.890632147309894e-04	+7.691696280317583e-04	0.115957421285100	0.470469037973170
48261	+1.121223685400000e-01	-9.897252064000001e-04	+2.390168192300000e-04	+1.121216702955614e-01	-9.896541615888169e-04	+2.386480179974660e-04	0.116484689107440	0.000082646326289
3610	+1.121041903600000e-01	-1.006239895400000e-03	+7.695271908900000e-04	+1.121074511694223e-01	-1.008757624902584e-03	+7.694812756826785e-04	0.121664377448808	0.470894515525203
48259	+1.121041903600000e-01	-1.006239895400000e-03	+2.392785773700000e-04	+1.121075772649148e-01	-1.009411210221643e-03	+2.389263732795142e-04	0.122300044565356	0.000487629528558
46991	+1.121502464700000e-01	-9.518976260100000e-04	+2.386168690700000e-04	+1.121439798444794e-01	-9.493269009979163e-04	+2.388698549740677e-04	0.105469537749298	0.000010000000000
1073	+1.121502464700000e-01	-9.518976260100000e-04	+7.687833142900000e-04	+1.121430937171167e-01	-9.486757153191966e-04	+7.687205441988263e-04	0.105072795114287	0.469811733584087
3615	+1.121223685400000e-01	-9.897252064000001e-04	+1.299449038100000e-03	+1.121208418110085e-01	-9.885013564947956e-04	+1.299711754435783e-03	0.115383033665487	0.940873553651078
3619	+1.121378211000000e-01	-9.714708135199999e-04	+1.299171894600000e-03	+1.121323897165073e-01	-9.684749086917557e-04	+1.299411176545564e-03	0.109963156874951	0.940476362638460
3606	+1.120833491600000e-01	-1.020507994600000e-03	+7.698652063600001e-04	+1.120915949978264e-01	-1.027940699401669e-03	+7.698167248832964e-04	0.127622944134759	0.471350612408943
48257	+1.120833491600000e-01	-1.020507994600000e-03	+2.395792558000000e-04	+1.120913032428436e-01	-1.028601944080482e-03	+2.392475700199763e-04	0.128378418365083	0.000943211619944
3611	+1.121041903600000e-01	-1.006239895400000e-03	+1.299775804400000e-03	+1.121073599870904e-01	-1.008312278891431e-03	+1.300031758219300e-03	0.121020494164841	0.941299067012594
46990	+1.121603039100000e-01	-9.311032193400000e-04	+2.384733987600000e-04	+1.121527183483133e-01	-9.285519874137904e-04	+2.389956630646472e-04	0.100062533152647	0.000010000000000
1074	+1.121603039100000e-01	-9.311032193400000e-04	+7.686220284000000e-04	+1.121516156530035e-01	-9.279917665841737e-04	+7.685327198570422e-04	0.099751014312725	0.469537387031468
1072	+1.121502464700000e-01	-9.518976260100000e-04	+1.298949759500000e-03	+1.121422421442597e-01	-9.481240223316599e-04	+1.299181225445508e-03	0.104659322261545	0.940154208427850
3602	+1.120600962000000e-01	-1.032146326400000e-03	+7.702429462900000e-04	+1.120734404260886e-01	-1.046385195204314e-03	+7.702005751786196e-04	0.133896192623180	0.471855063242377
48255	+1.120600962000000e-01	-1.032146326400000e-03	+2.399152707300000e-04	+1.120726042958944e-01	-1.047018321094976e-03	+2.395707212172222e-04	0.134801369962923	0.001410119600481
3607	+1.120833491600000e-01	-1.020507994600000e-03	+1.300151156900000e-03	+1.120917686500371e-01	-1.027684779149240e-03	+1.300355355023657e-03	0.126915701648612	0.941735189223412
46992	+1.121678661400000e-01	-9.085488895700000e-04	+2.383663024500000e-04	+1.121602277456176e-01	-9.063808420280260e-04	+2.391066666618973e-04	0.094399082042489	0.000010000000000
1076	+1.121678661400000e-01	-9.085488895700000e-04	+7.685016332900000e-04	+1.121589546214021e-01	-9.059961222525619e-04	+7.683968612643557e-04	0.094189591395641	0.469321181045148
1075	+1.121603039100000e-01	-9.311032193400000e-04	+1.298770658000000e-03	+1.121505387044629e-01	-9.275043305665728e-04	+1.298997576252249e-03	0.099422593839465	0.939887183430005
3598	+1.120348345900000e-01	-1.040910847200000e-03	+7.706696126500000e-04	+1.120521085601185e-01	-1.064265258281377e-03	+7.705875640287161e-04	0.140765321759675	0.472366697010055
48253	+1.120348345900000e-01	-1.040910847200000e-03	+2.402965452700000e-04	+1.120514789557585e-01	-1.064186319327316e-03	+2.399762741370482e-04	0.141584069765718	0.001953174943737
3603	+1.120600962000000e-01	-1.032146326400000e-03	+1.300570621800000e-03	+1.120739441139306e-01	-1.046301414307116e-03	+1.300809796997577e-03	0.133101531564116	0.942289075539697
46994	+1.121731026900000e-01	-8.847606016700000e-04	+2.382930434400000e-04	+1.121662343409478e-01	-8.833349931945475e-04	+2.391970400708909e-04	0.088561807804890	0.000010000000000
1080	+1.121731026900000e-01	-8.847606016700000e-04	+7.684192772700000e-04	+1.121648541900837e-01	-8.829431444133758e-04	+7.683597675986279e-04	0.088407579158088	0.469209617490025
1077	+1.121678661400000e-01	-9.085488895700000e-04	+1.298636964100000e-03	+1.121576881582745e-01	-9.056180419037565e-04	+1.298860346607012e-03	0.093953712810905	0.939672560294005
3594	+1.120079542500000e-01	-1.046720961000000e-03	+7.711316430600000e-04	+1.120283496348849e-01	-1.080315098893903e-03	+7.710936575530446e-04	0.148009690816837	0.472972281926395
48251	+1.120079542500000e-01	-1.046720961000000e-03	+2.407083976900000e-04	+1.120265803216868e-01	-1.080386935827182e-03	+2.403437816191350e-04	0.149167263588216	0.002467352131717
3599	+1.120348345900000e-01	-1.040910847200000e-03	+1.301042680000000e-03	+1.120535842212926e-01	-1.063975750942982e-03	+1.301256150910869e-03	0.139685325538962	0.942831630491897
46996	+1.121759522500000e-01	-8.599525610000000e-04	+2.382544768700000e-04	+1.121706944906575e-01	-8.592471463242392e-04	+2.392645780769610e-04	0.082450092866974	0.000010000000000
1084	+1.121759522500000e-01	-8.599525610000000e-04	+7.683759216600000e-04	+1.121692174764491e-01	-8.589373718437865e-04	+7.682839593654629e-04	0.082373748323313	0.469083692632255
1081	+1.121731026900000e-01	-8.847606016700000e-04	+1.298545511100000e-03	+1.121634917714677e-01	-8.825461970652444e-04	+1.298777730453571e-03	0.088231039970751	0.939521932281926
3590	+1.119798139600000e-01	-1.049617038100000e-03	+7.716158389900000e-04	+1.119988853491487e-01	-1.095498368428136e-03	+7.713742919606236e-04	0.156653937265106	0.473370108631961
48249	+1.119798139600000e-01	-1.049617038100000e-03	+2.411391069200000e-04	+1.119981491777389e-01	-1.094431940402217e-03	+2.407318764578181e-04	0.157521277426066	0.002989442118569
3595	+1.120079542500000e-01	-1.046720961000000e-03	+1.301554888400000e-03	+1.120294647791123e-01	-1.080903946363276e-03	+1.301715584462448e-03	0.147052870802285	0.943377163853735
46998	+1.121764099200000e-01	-8.343157760800000e-04	+2.382506433600000e-04	+1.121734482916195e-01	-8.341788037182321e-04	+2.393056118655628e-04	0.076010303522258	0.000010000000000
1088	+1.121764099200000e-01	-8.343157760800000e-04	+7.683716121300000e-04	+1.121719014613543e-01	-8.340657564173365e-04	+7.682861339821237e-04	0.076043765486827	0.469050037721991
1085	+1.121759522500000e-01	-8.599525610000000e-04	+1.298497366500000e-03	+1.121677405880564e-01	-8.586564907304944e-04	+1.298723658761619e-03	0.082290883369735	0.939416686777967
3586	+1.119507255500000e-01	-1.049751775000000e-03	+7.721168096900000e-04	+1.119671413432493e-01	-1.106850365810542e-03	+7.717982622507656e-04	0.165802536273332	0.473850036458436
48247	+1.119507255500000e-01	-1.049751775000000e-03	+2.415847379000000e-04	+1.119644610733732e-01	-1.105778875680982e-03	+2.411058283446787e-04	0.167273843880871	0.003480561759555
3591	+1.119798139600000e-01	-1.049617038100000e-03	+1.302092571100000e-03	+1.120016555373302e-01	-1.095968783273099e-03	+1.302159280434102e-03	0.155207750393415	0.943881791380301
47000	+1.121746141900000e-01	-8.080607321900000e-04	+2.382795025200000e-04	+1.121743047752428e-01	-8.080942958446217e-04	+2.393163234267442e-04	0.069144107400736	0.000010000000000
1092	+1.121746141900000e-01	-8.080607321900000e-04	+7.684040549000000e-04	+1.121727404677126e-01	-8.080889202708754e-04	+7.683276426680981e-04	0.069270835002916	0.469077529887766
1089	+1.121764099200000e-01	-8.343157760800000e-04	+1.298492580900000e-03	+1.121703493793625e-01	-8.340016191049843e-04	+1.298751176240838e-03	0.076083050528519	0.939406384032569
3582	+1.119209061200000e-01	-1.047319311100000e-03	+7.733127399000000e-04	+1.119280706753570e-01	-1.114497617893303e-03	+7.729936658509870e-04	0.177165226243588	0.474957150304963
48245	+1.119209061200000e-01	-1.047319311100000e-03	+2.427210430300000e-04	+1.119255063615070e-01	-1.112514123344783e-03	+2.422956906484050e-04	0.178695956365432	0.004650274292660
3587	+1.119507255500000e-01	-1.049751775000000e-03	+1.302648881500000e-03	+1.119683529688554e-01	-1.108671547793267e-03	+1.302421585096831e-03	0.164771462213079	0.944179766708812
47002	+1.121707171300000e-01	-7.813567765200000e-04	+2.383388232800000e-04	+1.121730974762302e-01	-7.811048356391999e-04	+2.392938470259239e-04	0.061774959981878	0.000010000000000
1096	+1.121707171300000e-01	-7.813567765200000e-04	+7.684707418800000e-04	+1.121715733873389e-01	-7.812947207687704e-04	+7.684103262411940e-04	0.062030123635328	0.469170283468771
1093	+1.121746141900000e-01	-8.080607321900000e-04	+1.298528607300000e-03	+1.121711734352911e-01	-8.081081358509789e-04	+1.298782547018622e-03	0.069405677977131	0.939425042976423
3578	+1.118905192600000e-01	-1.042546926100000e-03	+7.745549143800000e-04	+1.118861671188086e-01	-1.115447754752054e-03	+7.742688036323450e-04	0.189905871273121	0.476039328912230
48243	+1.118905192600000e-01	-1.042546926100000e-03	+2.438258250100000e-04	+1.118840279572166e-01	-1.112560281478538e-03	+2.432104784256542e-04	0.191467379976896	0.005501063480180
3583	+1.119209061200000e-01	-1.047319311100000e-03	+1.303904436800000e-03	+1.119308721985001e-01	-1.116791763008999e-03	+1.303764678028323e-03	0.175591059461009	0.945354801643271
47004	+1.121648608800000e-01	-7.542959720900000e-04	+2.384265290400000e-04	+1.121695685412454e-01	-7.533793896242039e-04	+2.392346221874712e-04	0.053804075618405	0.000010000000000
1100	+1.121648608800000e-01	-7.542959720900000e-04	+7.685693385800000e-04	+1.121681375248640e-01	-7.537687195722343e-04	+7.685188585229567e-04	0.054204820718214	0.469317904335703
1097	+1.121707171300000e-01	-7.813567765200000e-04	+1.298602660500000e-03	+1.121700366522158e-01	-7.814531314317768e-04	+1.298859374632013e-03	0.062285022635560	0.939512257617351
