Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000020 	 0.000080 	 0.084229 	 0.334533
2 	 0.000020 	 0.000078 	 0.084740 	 0.327641
3 	 0.000020 	 0.000079 	 0.084795 	 0.328413
4 	 0.000020 	 0.000078 	 0.084770 	 0.327536
5 	 0.000020 	 0.000078 	 0.084769 	 0.327126
6 	 0.000020 	 0.000078 	 0.084732 	 0.326198
7 	 0.000020 	 0.000078 	 0.084804 	 0.326559
8 	 0.000020 	 0.000078 	 0.084810 	 0.326392
9 	 0.000020 	 0.000078 	 0.084958 	 0.327728
10 	 0.000020 	 0.000078 	 0.084949 	 0.327629
11 	 0.000020 	 0.000078 	 0.082903 	 0.327307
