Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000005 	 0.000015 	 0.635126 	 1.743940
2 	 0.000006 	 0.000013 	 0.652398 	 1.493683
3 	 0.000005 	 0.000012 	 0.630723 	 1.429056
4 	 0.000005 	 0.000012 	 0.634178 	 1.381380
5 	 0.000003 	 0.000008 	 0.348718 	 0.965918
6 	 0.000003 	 0.000008 	 0.333965 	 0.912343
7 	 0.000003 	 0.000007 	 0.337432 	 0.841073
8 	 0.000003 	 0.000007 	 0.329815 	 0.823221
9 	 0.000003 	 0.000007 	 0.319837 	 0.787429
10 	 0.000002 	 0.000007 	 0.279546 	 0.867692
11 	 0.000002 	 0.000007 	 0.269888 	 0.786656
12 	 0.000002 	 0.000006 	 0.206482 	 0.734473
13 	 0.000002 	 0.000006 	 0.183489 	 0.731369
14 	 0.000002 	 0.000006 	 0.177130 	 0.732886
15 	 0.000001 	 0.000006 	 0.166418 	 0.731577
16 	 0.000001 	 0.000006 	 0.148957 	 0.749825
17 	 0.000001 	 0.000007 	 0.151352 	 0.771109
18 	 0.000001 	 0.000007 	 0.138142 	 0.794764
19 	 0.000001 	 0.000007 	 0.133899 	 0.764581
20 	 0.000001 	 0.000007 	 0.129408 	 0.759049
21 	 0.000001 	 0.000006 	 0.105408 	 0.680571
22 	 0.000001 	 0.000006 	 0.107768 	 0.641995
23 	 0.000001 	 0.000005 	 0.104135 	 0.636391
24 	 0.000001 	 0.000006 	 0.101971 	 0.640158
25 	 0.000001 	 0.000006 	 0.100830 	 0.641174
26 	 0.000001 	 0.000006 	 0.098562 	 0.640548
27 	 0.000001 	 0.000005 	 0.097097 	 0.638728
28 	 0.000001 	 0.000006 	 0.095071 	 0.646518
29 	 0.000001 	 0.000006 	 0.093051 	 0.641841
30 	 0.000001 	 0.000005 	 0.090871 	 0.634007
31 	 0.000001 	 0.000005 	 0.081540 	 0.625402
32 	 0.000001 	 0.000005 	 0.083317 	 0.615847
33 	 0.000001 	 0.000005 	 0.083472 	 0.613691
34 	 0.000001 	 0.000005 	 0.084444 	 0.608161
35 	 0.000001 	 0.000005 	 0.085202 	 0.602354
36 	 0.000001 	 0.000005 	 0.085538 	 0.592749
37 	 0.000001 	 0.000005 	 0.085678 	 0.582146
38 	 0.000001 	 0.000005 	 0.085722 	 0.574160
39 	 0.000001 	 0.000005 	 0.085524 	 0.569477
40 	 0.000001 	 0.000005 	 0.085129 	 0.568904
41 	 0.000001 	 0.000005 	 0.076789 	 0.568059
42 	 0.000001 	 0.000005 	 0.077236 	 0.564918
43 	 0.000001 	 0.000005 	 0.077064 	 0.563776
44 	 0.000001 	 0.000005 	 0.078363 	 0.556355
45 	 0.000001 	 0.000005 	 0.078269 	 0.554733
46 	 0.000001 	 0.000005 	 0.078608 	 0.550114
47 	 0.000001 	 0.000005 	 0.079134 	 0.554745
48 	 0.000001 	 0.000005 	 0.079545 	 0.558506
49 	 0.000001 	 0.000005 	 0.079837 	 0.561224
