Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.000008 	 0.000014 	 0.890312 	 1.615474
2 	 0.000005 	 0.000012 	 0.632133 	 1.443730
3 	 0.000005 	 0.000012 	 0.615785 	 1.446191
4 	 0.000005 	 0.000013 	 0.610169 	 1.475957
5 	 0.000005 	 0.000012 	 0.536128 	 1.354157
6 	 0.000005 	 0.000011 	 0.545893 	 1.242996
7 	 0.000005 	 0.000010 	 0.531637 	 1.113959
8 	 0.000005 	 0.000009 	 0.533458 	 1.016622
9 	 0.000004 	 0.000009 	 0.508544 	 1.015085
10 	 0.000004 	 0.000009 	 0.462637 	 1.067086
11 	 0.000004 	 0.000008 	 0.446412 	 0.965785
12 	 0.000003 	 0.000009 	 0.356004 	 0.995510
13 	 0.000003 	 0.000008 	 0.320121 	 0.930647
14 	 0.000003 	 0.000008 	 0.321490 	 0.887379
15 	 0.000003 	 0.000008 	 0.322352 	 0.894226
16 	 0.000003 	 0.000008 	 0.320509 	 0.941614
17 	 0.000003 	 0.000008 	 0.319423 	 0.960448
18 	 0.000003 	 0.000008 	 0.320250 	 0.944910
