"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
0	+9.907175375e-01	+0.000000000e+00	-9.117532721e-03	0.000100000
1	+9.907108383e-01	+0.000000000e+00	-9.044055073e-03	0.002103607
2	+9.907041392e-01	+0.000000000e+00	-8.970577426e-03	0.004107214
3	+9.906974401e-01	+0.000000000e+00	-8.897099778e-03	0.006110822
4	+9.906907409e-01	+0.000000000e+00	-8.823622131e-03	0.008114429
5	+9.906840418e-01	+0.000000000e+00	-8.750144483e-03	0.010118036
6	+9.906773427e-01	+0.000000000e+00	-8.676666836e-03	0.012121643
7	+9.906706435e-01	+0.000000000e+00	-8.603189189e-03	0.014125251
8	+9.906639444e-01	+0.000000000e+00	-8.529711541e-03	0.016128858
9	+9.906572452e-01	+0.000000000e+00	-8.456233894e-03	0.018132465
10	+9.906505461e-01	+0.000000000e+00	-8.382756246e-03	0.020136072
11	+9.906438470e-01	+0.000000000e+00	-8.309278599e-03	0.022139679
12	+9.906371478e-01	+0.000000000e+00	-8.235800951e-03	0.024143287
13	+9.906304487e-01	+0.000000000e+00	-8.162323304e-03	0.026146894
14	+9.906237496e-01	+0.000000000e+00	-8.088845656e-03	0.028150501
15	+9.906170504e-01	+0.000000000e+00	-8.015368009e-03	0.030154108
16	+9.906103513e-01	+0.000000000e+00	-7.941890361e-03	0.032157715
17	+9.906036522e-01	+0.000000000e+00	-7.868412714e-03	0.034161323
18	+9.905969530e-01	+0.000000000e+00	-7.794935067e-03	0.036164930
19	+9.905902539e-01	+0.000000000e+00	-7.721457419e-03	0.038168537
20	+9.905835548e-01	+0.000000000e+00	-7.647979772e-03	0.040172144
21	+9.905768556e-01	+0.000000000e+00	-7.574502124e-03	0.042175752
22	+9.905701565e-01	+0.000000000e+00	-7.501024477e-03	0.044179359
23	+9.905634574e-01	+0.000000000e+00	-7.427546829e-03	0.046182966
24	+9.905567582e-01	+0.000000000e+00	-7.354069182e-03	0.048186573
25	+9.905500591e-01	+0.000000000e+00	-7.280591534e-03	0.050190180
26	+9.905433599e-01	+0.000000000e+00	-7.207113887e-03	0.052193788
27	+9.905366608e-01	+0.000000000e+00	-7.133636240e-03	0.054197395
28	+9.905299617e-01	+0.000000000e+00	-7.060158592e-03	0.056201002
29	+9.905232625e-01	+0.000000000e+00	-6.986680945e-03	0.058204609
30	+9.905165634e-01	+0.000000000e+00	-6.913203297e-03	0.060208216
31	+9.905098643e-01	+0.000000000e+00	-6.839725650e-03	0.062211824
32	+9.905031651e-01	+0.000000000e+00	-6.766248002e-03	0.064215431
33	+9.904964660e-01	+0.000000000e+00	-6.692770355e-03	0.066219038
34	+9.904897669e-01	+0.000000000e+00	-6.619292707e-03	0.068222645
35	+9.904830677e-01	+0.000000000e+00	-6.545815060e-03	0.070226253
36	+9.904763686e-01	+0.000000000e+00	-6.472337412e-03	0.072229860
37	+9.904696695e-01	+0.000000000e+00	-6.398859765e-03	0.074233467
38	+9.904629703e-01	+0.000000000e+00	-6.325382118e-03	0.076237074
39	+9.904562712e-01	+0.000000000e+00	-6.251904470e-03	0.078240681
40	+9.904495721e-01	+0.000000000e+00	-6.178426823e-03	0.080244289
41	+9.904428729e-01	+0.000000000e+00	-6.104949175e-03	0.082247896
42	+9.904361738e-01	+0.000000000e+00	-6.031471528e-03	0.084251503
43	+9.904294746e-01	+0.000000000e+00	-5.957993880e-03	0.086255110
44	+9.904227755e-01	+0.000000000e+00	-5.884516233e-03	0.088258717
45	+9.904160764e-01	+0.000000000e+00	-5.811038585e-03	0.090262325
46	+9.904093772e-01	+0.000000000e+00	-5.737560938e-03	0.092265932
47	+9.904026781e-01	+0.000000000e+00	-5.664083290e-03	0.094269539
48	+9.903959790e-01	+0.000000000e+00	-5.590605643e-03	0.096273146
49	+9.903892798e-01	+0.000000000e+00	-5.517127996e-03	0.098276754
50	+9.903825807e-01	+0.000000000e+00	-5.443650348e-03	0.100280361
51	+9.903758816e-01	+0.000000000e+00	-5.370172701e-03	0.102283968
52	+9.903691824e-01	+0.000000000e+00	-5.296695053e-03	0.104287575
53	+9.903624833e-01	+0.000000000e+00	-5.223217406e-03	0.106291182
54	+9.903557842e-01	+0.000000000e+00	-5.149739758e-03	0.108294790
55	+9.903490850e-01	+0.000000000e+00	-5.076262111e-03	0.110298397
56	+9.903423859e-01	+0.000000000e+00	-5.002784463e-03	0.112302004
57	+9.903356867e-01	+0.000000000e+00	-4.929306816e-03	0.114305611
58	+9.903289876e-01	+0.000000000e+00	-4.855829169e-03	0.116309218
59	+9.903222885e-01	+0.000000000e+00	-4.782351521e-03	0.118312826
60	+9.903155893e-01	+0.000000000e+00	-4.708873874e-03	0.120316433
61	+9.903088902e-01	+0.000000000e+00	-4.635396226e-03	0.122320040
62	+9.903021911e-01	+0.000000000e+00	-4.561918579e-03	0.124323647
63	+9.902954919e-01	+0.000000000e+00	-4.488440931e-03	0.126327255
64	+9.902887928e-01	+0.000000000e+00	-4.414963284e-03	0.128330862
65	+9.902820937e-01	+0.000000000e+00	-4.341485636e-03	0.130334469
66	+9.902753945e-01	+0.000000000e+00	-4.268007989e-03	0.132338076
67	+9.902686954e-01	+0.000000000e+00	-4.194530341e-03	0.134341683
68	+9.902619963e-01	+0.000000000e+00	-4.121052694e-03	0.136345291
69	+9.902552971e-01	+0.000000000e+00	-4.047575047e-03	0.138348898
70	+9.902485980e-01	+0.000000000e+00	-3.974097399e-03	0.140352505
71	+9.902418989e-01	+0.000000000e+00	-3.900619752e-03	0.142356112
72	+9.902351997e-01	+0.000000000e+00	-3.827142104e-03	0.144359719
73	+9.902285006e-01	+0.000000000e+00	-3.753664457e-03	0.146363327
74	+9.902218014e-01	+0.000000000e+00	-3.680186809e-03	0.148366934
75	+9.902151023e-01	+0.000000000e+00	-3.606709162e-03	0.150370541
76	+9.902084032e-01	+0.000000000e+00	-3.533231514e-03	0.152374148
77	+9.902017040e-01	+0.000000000e+00	-3.459753867e-03	0.154377756
78	+9.901950049e-01	+0.000000000e+00	-3.386276219e-03	0.156381363
