"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
0	+1.009270030e+00	+0.000000000e+00	-9.116530842e-03	0.000100000
1	+1.009276817e+00	+0.000000000e+00	-9.043061225e-03	0.002103607
2	+1.009283604e+00	+0.000000000e+00	-8.969591609e-03	0.004107214
3	+1.009290390e+00	+0.000000000e+00	-8.896121993e-03	0.006110822
4	+1.009297177e+00	+0.000000000e+00	-8.822652376e-03	0.008114429
5	+1.009303964e+00	+0.000000000e+00	-8.749182760e-03	0.010118036
6	+1.009310750e+00	+0.000000000e+00	-8.675713144e-03	0.012121643
7	+1.009317537e+00	+0.000000000e+00	-8.602243527e-03	0.014125251
8	+1.009324323e+00	+0.000000000e+00	-8.528773911e-03	0.016128858
9	+1.009331110e+00	+0.000000000e+00	-8.455304294e-03	0.018132465
10	+1.009337897e+00	+0.000000000e+00	-8.381834678e-03	0.020136072
11	+1.009344683e+00	+0.000000000e+00	-8.308365062e-03	0.022139679
12	+1.009351470e+00	+0.000000000e+00	-8.234895445e-03	0.024143287
13	+1.009358257e+00	+0.000000000e+00	-8.161425829e-03	0.026146894
14	+1.009365043e+00	+0.000000000e+00	-8.087956213e-03	0.028150501
15	+1.009371830e+00	+0.000000000e+00	-8.014486596e-03	0.030154108
16	+1.009378617e+00	+0.000000000e+00	-7.941016980e-03	0.032157715
17	+1.009385403e+00	+0.000000000e+00	-7.867547364e-03	0.034161323
18	+1.009392190e+00	+0.000000000e+00	-7.794077747e-03	0.036164930
19	+1.009398977e+00	+0.000000000e+00	-7.720608131e-03	0.038168537
20	+1.009405763e+00	+0.000000000e+00	-7.647138515e-03	0.040172144
21	+1.009412550e+00	+0.000000000e+00	-7.573668898e-03	0.042175752
22	+1.009419337e+00	+0.000000000e+00	-7.500199282e-03	0.044179359
23	+1.009426123e+00	+0.000000000e+00	-7.426729665e-03	0.046182966
24	+1.009432910e+00	+0.000000000e+00	-7.353260049e-03	0.048186573
25	+1.009439696e+00	+0.000000000e+00	-7.279790433e-03	0.050190180
26	+1.009446483e+00	+0.000000000e+00	-7.206320816e-03	0.052193788
27	+1.009453270e+00	+0.000000000e+00	-7.132851200e-03	0.054197395
28	+1.009460056e+00	+0.000000000e+00	-7.059381584e-03	0.056201002
29	+1.009466843e+00	+0.000000000e+00	-6.985911967e-03	0.058204609
30	+1.009473630e+00	+0.000000000e+00	-6.912442351e-03	0.060208216
31	+1.009480416e+00	+0.000000000e+00	-6.838972735e-03	0.062211824
32	+1.009487203e+00	+0.000000000e+00	-6.765503118e-03	0.064215431
33	+1.009493990e+00	+0.000000000e+00	-6.692033502e-03	0.066219038
34	+1.009500776e+00	+0.000000000e+00	-6.618563886e-03	0.068222645
35	+1.009507563e+00	+0.000000000e+00	-6.545094269e-03	0.070226253
36	+1.009514350e+00	+0.000000000e+00	-6.471624653e-03	0.072229860
37	+1.009521136e+00	+0.000000000e+00	-6.398155036e-03	0.074233467
38	+1.009527923e+00	+0.000000000e+00	-6.324685420e-03	0.076237074
39	+1.009534709e+00	+0.000000000e+00	-6.251215804e-03	0.078240681
40	+1.009541496e+00	+0.000000000e+00	-6.177746187e-03	0.080244289
41	+1.009548283e+00	+0.000000000e+00	-6.104276571e-03	0.082247896
42	+1.009555069e+00	+0.000000000e+00	-6.030806955e-03	0.084251503
43	+1.009561856e+00	+0.000000000e+00	-5.957337338e-03	0.086255110
44	+1.009568643e+00	+0.000000000e+00	-5.883867722e-03	0.088258717
45	+1.009575429e+00	+0.000000000e+00	-5.810398106e-03	0.090262325
46	+1.009582216e+00	+0.000000000e+00	-5.736928489e-03	0.092265932
47	+1.009589003e+00	+0.000000000e+00	-5.663458873e-03	0.094269539
48	+1.009595789e+00	+0.000000000e+00	-5.589989257e-03	0.096273146
49	+1.009602576e+00	+0.000000000e+00	-5.516519640e-03	0.098276754
50	+1.009609363e+00	+0.000000000e+00	-5.443050024e-03	0.100280361
51	+1.009616149e+00	+0.000000000e+00	-5.369580407e-03	0.102283968
52	+1.009622936e+00	+0.000000000e+00	-5.296110791e-03	0.104287575
53	+1.009629723e+00	+0.000000000e+00	-5.222641175e-03	0.106291182
54	+1.009636509e+00	+0.000000000e+00	-5.149171558e-03	0.108294790
55	+1.009643296e+00	+0.000000000e+00	-5.075701942e-03	0.110298397
56	+1.009650082e+00	+0.000000000e+00	-5.002232326e-03	0.112302004
57	+1.009656869e+00	+0.000000000e+00	-4.928762709e-03	0.114305611
58	+1.009663656e+00	+0.000000000e+00	-4.855293093e-03	0.116309218
59	+1.009670442e+00	+0.000000000e+00	-4.781823477e-03	0.118312826
60	+1.009677229e+00	+0.000000000e+00	-4.708353860e-03	0.120316433
61	+1.009684016e+00	+0.000000000e+00	-4.634884244e-03	0.122320040
62	+1.009690802e+00	+0.000000000e+00	-4.561414628e-03	0.124323647
63	+1.009697589e+00	+0.000000000e+00	-4.487945011e-03	0.126327255
64	+1.009704376e+00	+0.000000000e+00	-4.414475395e-03	0.128330862
65	+1.009711162e+00	+0.000000000e+00	-4.341005778e-03	0.130334469
66	+1.009717949e+00	+0.000000000e+00	-4.267536162e-03	0.132338076
67	+1.009724736e+00	+0.000000000e+00	-4.194066546e-03	0.134341683
68	+1.009731522e+00	+0.000000000e+00	-4.120596929e-03	0.136345291
69	+1.009738309e+00	+0.000000000e+00	-4.047127313e-03	0.138348898
70	+1.009745096e+00	+0.000000000e+00	-3.973657697e-03	0.140352505
71	+1.009751882e+00	+0.000000000e+00	-3.900188080e-03	0.142356112
72	+1.009758669e+00	+0.000000000e+00	-3.826718464e-03	0.144359719
73	+1.009765455e+00	+0.000000000e+00	-3.753248848e-03	0.146363327
74	+1.009772242e+00	+0.000000000e+00	-3.679779231e-03	0.148366934
75	+1.009779029e+00	+0.000000000e+00	-3.606309615e-03	0.150370541
76	+1.009785815e+00	+0.000000000e+00	-3.532839999e-03	0.152374148
77	+1.009792602e+00	+0.000000000e+00	-3.459370382e-03	0.154377756
78	+1.009799389e+00	+0.000000000e+00	-3.385900766e-03	0.156381363
79	+1.009806175e+00	+0.000000000e+00	-3.312431149e-03	0.158384970
80	+1.009812962e+00	+0.000000000e+00	-3.238961533e-03	0.160388577
81	+1.009819749e+00	+0.000000000e+00	-3.165491917e-03	0.162392184
82	+1.009826535e+00	+0.000000000e+00	-3.092022300e-03	0.164395792
83	+1.009833322e+00	+0.000000000e+00	-3.018552684e-03	0.166399399
84	+1.009840109e+00	+0.000000000e+00	-2.945083068e-03	0.168403006
85	+1.009846895e+00	+0.000000000e+00	-2.871613451e-03	0.170406613
86	+1.009853682e+00	+0.000000000e+00	-2.798143835e-03	0.172410220
87	+1.009860469e+00	+0.000000000e+00	-2.724674219e-03	0.174413828
