"Point"	"x_coord"	"y_coord"	"z_coord"	"u"	"v"
0	+9.999992629e-01	+2.232401361e-04	+8.297746148e-05	0.000100000	0.500000000
1	+9.999992860e-01	-6.931997687e-05	+1.214025612e-04	0.002103607	0.500000000
2	+9.999993166e-01	-3.494258446e-04	+1.724302610e-04	0.004107214	0.500000000
3	+9.999993543e-01	-6.178290563e-04	+2.352114140e-04	0.006110822	0.500000000
4	+9.999993986e-01	-8.752812013e-04	+3.088968736e-04	0.008114429	0.500000000
5	+9.999994488e-01	-1.122533869e-03	+3.926374928e-04	0.010118036	0.500000000
6	+9.999995047e-01	-1.360338648e-03	+4.855841250e-04	0.012121643	0.500000000
7	+9.999995655e-01	-1.589447129e-03	+5.868876233e-04	0.014125251	0.500000000
8	+9.999996308e-01	-1.810610899e-03	+6.956988409e-04	0.016128858	0.500000000
9	+9.999997002e-01	-2.024581550e-03	+8.111686311e-04	0.018132465	0.500000000
10	+9.999997730e-01	-2.232110669e-03	+9.324478471e-04	0.020136072	0.500000000
11	+9.999998488e-01	-2.433949846e-03	+1.058687342e-03	0.022139679	0.500000000
12	+9.999999271e-01	-2.630850670e-03	+1.189037969e-03	0.024143287	0.500000000
13	+1.000000007e+00	-2.823564732e-03	+1.322650582e-03	0.026146894	0.500000000
14	+1.000000089e+00	-3.012843619e-03	+1.458676033e-03	0.028150501	0.500000000
15	+1.000000172e+00	-3.199438921e-03	+1.596265176e-03	0.030154108	0.500000000
16	+1.000000255e+00	-3.384102227e-03	+1.734568864e-03	0.032157715	0.500000000
17	+1.000000338e+00	-3.567585127e-03	+1.872737950e-03	0.034161323	0.500000000
18	+1.000000420e+00	-3.750639210e-03	+2.009923288e-03	0.036164930	0.500000000
19	+1.000000501e+00	-3.934016066e-03	+2.145275730e-03	0.038168537	0.500000000
20	+1.000000581e+00	-4.118467282e-03	+2.277946131e-03	0.040172144	0.500000000
21	+1.000000659e+00	-4.304744450e-03	+2.407085342e-03	0.042175752	0.500000000
22	+1.000000734e+00	-4.493599157e-03	+2.531844218e-03	0.044179359	0.500000000
23	+1.000000805e+00	-4.685782993e-03	+2.651373611e-03	0.046182966	0.500000000
24	+1.000000873e+00	-4.882047547e-03	+2.764824377e-03	0.048186573	0.500000000
25	+1.000000937e+00	-5.083131624e-03	+2.871361070e-03	0.050190180	0.500000000
26	+1.000000997e+00	-5.289459225e-03	+2.970485727e-03	0.052193788	0.500000000
27	+1.000001052e+00	-5.500511124e-03	+3.062711528e-03	0.054197395	0.500000000
28	+1.000001104e+00	-5.715567151e-03	+3.148767074e-03	0.056201002	0.500000000
29	+1.000001152e+00	-5.933907137e-03	+3.229380961e-03	0.058204609	0.500000000
30	+1.000001198e+00	-6.154810913e-03	+3.305281788e-03	0.060208216	0.500000000
31	+1.000001241e+00	-6.377558310e-03	+3.377198152e-03	0.062211824	0.500000000
32	+1.000001282e+00	-6.601429158e-03	+3.445858652e-03	0.064215431	0.500000000
33	+1.000001322e+00	-6.825703287e-03	+3.511991885e-03	0.066219038	0.500000000
34	+1.000001361e+00	-7.049660530e-03	+3.576326449e-03	0.068222645	0.500000000
35	+1.000001399e+00	-7.272580715e-03	+3.639590943e-03	0.070226253	0.500000000
36	+1.000001437e+00	-7.493743674e-03	+3.702513964e-03	0.072229860	0.500000000
37	+1.000001475e+00	-7.712429237e-03	+3.765824111e-03	0.074233467	0.500000000
38	+1.000001513e+00	-7.927917236e-03	+3.830249981e-03	0.076237074	0.500000000
39	+1.000001553e+00	-8.139487500e-03	+3.896520172e-03	0.078240681	0.500000000
40	+1.000001594e+00	-8.346419861e-03	+3.965363282e-03	0.080244289	0.500000000
41	+1.000001638e+00	-8.547994149e-03	+4.037507910e-03	0.082247896	0.500000000
42	+1.000001683e+00	-8.743490195e-03	+4.113682652e-03	0.084251503	0.500000000
43	+1.000001732e+00	-8.932187829e-03	+4.194616108e-03	0.086255110	0.500000000
44	+1.000001784e+00	-9.113366882e-03	+4.281036874e-03	0.088258717	0.500000000
45	+1.000001840e+00	-9.286307185e-03	+4.373673550e-03	0.090262325	0.500000000
46	+1.000001899e+00	-9.450288568e-03	+4.473254732e-03	0.092265932	0.500000000
47	+1.000001964e+00	-9.604590862e-03	+4.580509020e-03	0.094269539	0.500000000
48	+1.000002033e+00	-9.748493898e-03	+4.696165010e-03	0.096273146	0.500000000
49	+1.000002108e+00	-9.881277517e-03	+4.820951291e-03	0.098276754	0.500000000
50	+1.000002189e+00	-1.000223693e-02	+4.955582990e-03	0.100280361	0.500000000
51	+1.000002276e+00	-1.011107502e-02	+5.100418195e-03	0.102283968	0.500000000
52	+1.000002369e+00	-1.020858178e-02	+5.254862870e-03	0.104287575	0.500000000
53	+1.000002467e+00	-1.029574675e-02	+5.418148234e-03	0.106291182	0.500000000
54	+1.000002570e+00	-1.037355945e-02	+5.589505508e-03	0.108294790	0.500000000
55	+1.000002677e+00	-1.044300939e-02	+5.768165915e-03	0.110298397	0.500000000
56	+1.000002788e+00	-1.050508612e-02	+5.953360675e-03	0.112302004	0.500000000
57	+1.000002903e+00	-1.056077915e-02	+6.144321008e-03	0.114305611	0.500000000
58	+1.000003021e+00	-1.061107801e-02	+6.340278137e-03	0.116309218	0.500000000
59	+1.000003141e+00	-1.065697222e-02	+6.540463282e-03	0.118312826	0.500000000
60	+1.000003263e+00	-1.069945132e-02	+6.744107665e-03	0.120316433	0.500000000
61	+1.000003387e+00	-1.073950481e-02	+6.950442506e-03	0.122320040	0.500000000
62	+1.000003512e+00	-1.077812224e-02	+7.158699026e-03	0.124323647	0.500000000
63	+1.000003638e+00	-1.081629312e-02	+7.368108447e-03	0.126327255	0.500000000
64	+1.000003764e+00	-1.085500698e-02	+7.577901990e-03	0.128330862	0.500000000
65	+1.000003890e+00	-1.089525334e-02	+7.787310875e-03	0.130334469	0.500000000
66	+1.000004015e+00	-1.093802173e-02	+7.995566324e-03	0.132338076	0.500000000
67	+1.000004139e+00	-1.098430168e-02	+8.201899558e-03	0.134341683	0.500000000
68	+1.000004261e+00	-1.103508271e-02	+8.405541799e-03	0.136345291	0.500000000
69	+1.000004381e+00	-1.109135434e-02	+8.605724266e-03	0.138348898	0.500000000
70	+1.000004499e+00	-1.115410610e-02	+8.801678181e-03	0.140352505	0.500000000
71	+1.000004613e+00	-1.122432752e-02	+8.992634766e-03	0.142356112	0.500000000
72	+1.000004725e+00	-1.130300811e-02	+9.177825241e-03	0.144359719	0.500000000
73	+1.000004832e+00	-1.139113742e-02	+9.356480828e-03	0.146363327	0.500000000
74	+1.000004935e+00	-1.148970491e-02	+9.527832778e-03	0.148366934	0.500000000
75	+1.000005033e+00	-1.159968400e-02	+9.691126877e-03	0.150370541	0.500000000
76	+1.000005126e+00	-1.172159033e-02	+9.846022154e-03	0.152374148	0.500000000
77	+1.000005214e+00	-1.185485609e-02	+9.993155767e-03	0.154377756	0.500000000
78	+1.000005298e+00	-1.199874273e-02	+1.013331905e-02	0.156381363	0.500000000
79	+1.000005379e+00	-1.215251165e-02	+1.026730333e-02	0.158384970	0.500000000
