"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
0	+1.000000000e+00	+0.000000000e+00	-6.148753800e-02	0.000100000
1	+1.000000000e+00	+0.000000000e+00	-6.099465193e-02	0.002103607
2	+1.000000000e+00	+0.000000000e+00	-6.050176585e-02	0.004107214
3	+1.000000000e+00	+0.000000000e+00	-6.000887977e-02	0.006110822
4	+1.000000000e+00	+0.000000000e+00	-5.951599370e-02	0.008114429
5	+1.000000000e+00	+0.000000000e+00	-5.902310762e-02	0.010118036
6	+1.000000000e+00	+0.000000000e+00	-5.853022155e-02	0.012121643
7	+1.000000000e+00	+0.000000000e+00	-5.803733547e-02	0.014125251
8	+1.000000000e+00	+0.000000000e+00	-5.754444939e-02	0.016128858
9	+1.000000000e+00	+0.000000000e+00	-5.705156332e-02	0.018132465
10	+1.000000000e+00	+0.000000000e+00	-5.655867724e-02	0.020136072
11	+1.000000000e+00	+0.000000000e+00	-5.606579117e-02	0.022139679
12	+1.000000000e+00	+0.000000000e+00	-5.557290509e-02	0.024143287
13	+1.000000000e+00	+0.000000000e+00	-5.508001901e-02	0.026146894
14	+1.000000000e+00	+0.000000000e+00	-5.458713294e-02	0.028150501
15	+1.000000000e+00	+0.000000000e+00	-5.409424686e-02	0.030154108
16	+1.000000000e+00	+0.000000000e+00	-5.360136078e-02	0.032157715
17	+1.000000000e+00	+0.000000000e+00	-5.310847471e-02	0.034161323
18	+1.000000000e+00	+0.000000000e+00	-5.261558863e-02	0.036164930
19	+1.000000000e+00	+0.000000000e+00	-5.212270256e-02	0.038168537
20	+1.000000000e+00	+0.000000000e+00	-5.162981648e-02	0.040172144
21	+1.000000000e+00	+0.000000000e+00	-5.113693040e-02	0.042175752
22	+1.000000000e+00	+0.000000000e+00	-5.064404433e-02	0.044179359
23	+1.000000000e+00	+0.000000000e+00	-5.015115825e-02	0.046182966
24	+1.000000000e+00	+0.000000000e+00	-4.965827217e-02	0.048186573
25	+1.000000000e+00	+0.000000000e+00	-4.916538610e-02	0.050190180
26	+1.000000000e+00	+0.000000000e+00	-4.867250002e-02	0.052193788
27	+1.000000000e+00	+0.000000000e+00	-4.817961395e-02	0.054197395
28	+1.000000000e+00	+0.000000000e+00	-4.768672787e-02	0.056201002
29	+1.000000000e+00	+0.000000000e+00	-4.719384179e-02	0.058204609
30	+1.000000000e+00	+0.000000000e+00	-4.670095572e-02	0.060208216
31	+1.000000000e+00	+0.000000000e+00	-4.620806964e-02	0.062211824
32	+1.000000000e+00	+0.000000000e+00	-4.571518357e-02	0.064215431
33	+1.000000000e+00	+0.000000000e+00	-4.522229749e-02	0.066219038
34	+1.000000000e+00	+0.000000000e+00	-4.472941141e-02	0.068222645
35	+1.000000000e+00	+0.000000000e+00	-4.423652534e-02	0.070226253
36	+1.000000000e+00	+0.000000000e+00	-4.374363926e-02	0.072229860
37	+1.000000000e+00	+0.000000000e+00	-4.325075318e-02	0.074233467
38	+1.000000000e+00	+0.000000000e+00	-4.275786711e-02	0.076237074
39	+1.000000000e+00	+0.000000000e+00	-4.226498103e-02	0.078240681
40	+1.000000000e+00	+0.000000000e+00	-4.177209496e-02	0.080244289
41	+1.000000000e+00	+0.000000000e+00	-4.127920888e-02	0.082247896
42	+1.000000000e+00	+0.000000000e+00	-4.078632280e-02	0.084251503
43	+1.000000000e+00	+0.000000000e+00	-4.029343673e-02	0.086255110
44	+1.000000000e+00	+0.000000000e+00	-3.980055065e-02	0.088258717
45	+1.000000000e+00	+0.000000000e+00	-3.930766458e-02	0.090262325
46	+1.000000000e+00	+0.000000000e+00	-3.881477850e-02	0.092265932
47	+1.000000000e+00	+0.000000000e+00	-3.832189242e-02	0.094269539
48	+1.000000000e+00	+0.000000000e+00	-3.782900635e-02	0.096273146
49	+1.000000000e+00	+0.000000000e+00	-3.733612027e-02	0.098276754
