"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
0	+1.250000000e+00	+0.000000000e+00	-2.148753800e-02	0.000100000
1	+1.250000000e+00	+0.000000000e+00	-2.099465193e-02	0.002103607
2	+1.250000000e+00	+0.000000000e+00	-2.050176585e-02	0.004107214
3	+1.250000000e+00	+0.000000000e+00	-2.000887977e-02	0.006110822
4	+1.250000000e+00	+0.000000000e+00	-1.951599370e-02	0.008114429
5	+1.250000000e+00	+0.000000000e+00	-1.902310762e-02	0.010118036
6	+1.250000000e+00	+0.000000000e+00	-1.853022155e-02	0.012121643
7	+1.250000000e+00	+0.000000000e+00	-1.803733547e-02	0.014125251
8	+1.250000000e+00	+0.000000000e+00	-1.754444939e-02	0.016128858
9	+1.250000000e+00	+0.000000000e+00	-1.705156332e-02	0.018132465
10	+1.250000000e+00	+0.000000000e+00	-1.655867724e-02	0.020136072
11	+1.250000000e+00	+0.000000000e+00	-1.606579117e-02	0.022139679
12	+1.250000000e+00	+0.000000000e+00	-1.557290509e-02	0.024143287
13	+1.250000000e+00	+0.000000000e+00	-1.508001901e-02	0.026146894
14	+1.250000000e+00	+0.000000000e+00	-1.458713294e-02	0.028150501
15	+1.250000000e+00	+0.000000000e+00	-1.409424686e-02	0.030154108
16	+1.250000000e+00	+0.000000000e+00	-1.360136078e-02	0.032157715
17	+1.250000000e+00	+0.000000000e+00	-1.310847471e-02	0.034161323
18	+1.250000000e+00	+0.000000000e+00	-1.261558863e-02	0.036164930
19	+1.250000000e+00	+0.000000000e+00	-1.212270256e-02	0.038168537
20	+1.250000000e+00	+0.000000000e+00	-1.162981648e-02	0.040172144
21	+1.250000000e+00	+0.000000000e+00	-1.113693040e-02	0.042175752
22	+1.250000000e+00	+0.000000000e+00	-1.064404433e-02	0.044179359
23	+1.250000000e+00	+0.000000000e+00	-1.015115825e-02	0.046182966
24	+1.250000000e+00	+0.000000000e+00	-9.658272175e-03	0.048186573
25	+1.250000000e+00	+0.000000000e+00	-9.165386099e-03	0.050190180
26	+1.250000000e+00	+0.000000000e+00	-8.672500022e-03	0.052193788
27	+1.250000000e+00	+0.000000000e+00	-8.179613946e-03	0.054197395
28	+1.250000000e+00	+0.000000000e+00	-7.686727870e-03	0.056201002
29	+1.250000000e+00	+0.000000000e+00	-7.193841794e-03	0.058204609
30	+1.250000000e+00	+0.000000000e+00	-6.700955718e-03	0.060208216
31	+1.250000000e+00	+0.000000000e+00	-6.208069642e-03	0.062211824
32	+1.250000000e+00	+0.000000000e+00	-5.715183565e-03	0.064215431
33	+1.250000000e+00	+0.000000000e+00	-5.222297489e-03	0.066219038
34	+1.250000000e+00	+0.000000000e+00	-4.729411413e-03	0.068222645
35	+1.250000000e+00	+0.000000000e+00	-4.236525337e-03	0.070226253
36	+1.250000000e+00	+0.000000000e+00	-3.743639261e-03	0.072229860
37	+1.250000000e+00	+0.000000000e+00	-3.250753184e-03	0.074233467
38	+1.250000000e+00	+0.000000000e+00	-2.757867108e-03	0.076237074
39	+1.250000000e+00	+0.000000000e+00	-2.264981032e-03	0.078240681
40	+1.250000000e+00	+0.000000000e+00	-1.772094956e-03	0.080244289
41	+1.250000000e+00	+0.000000000e+00	-1.279208880e-03	0.082247896
42	+1.250000000e+00	+0.000000000e+00	-7.863228036e-04	0.084251503
43	+1.250000000e+00	+0.000000000e+00	-2.934367274e-04	0.086255110
44	+1.250000000e+00	+0.000000000e+00	+1.994493488e-04	0.088258717
45	+1.250000000e+00	+0.000000000e+00	+6.923354250e-04	0.090262325
46	+1.250000000e+00	+0.000000000e+00	+1.185221501e-03	0.092265932
47	+1.250000000e+00	+0.000000000e+00	+1.678107577e-03	0.094269539
48	+1.250000000e+00	+0.000000000e+00	+2.170993653e-03	0.096273146
49	+1.250000000e+00	+0.000000000e+00	+2.663879730e-03	0.098276754
50	+1.250000000e+00	+0.000000000e+00	+3.156765806e-03	0.100280361
51	+1.250000000e+00	+0.000000000e+00	+3.649651882e-03	0.102283968
52	+1.250000000e+00	+0.000000000e+00	+4.142537958e-03	0.104287575
53	+1.250000000e+00	+0.000000000e+00	+4.635424034e-03	0.106291182
54	+1.250000000e+00	+0.000000000e+00	+5.128310111e-03	0.108294790
55	+1.250000000e+00	+0.000000000e+00	+5.621196187e-03	0.110298397
56	+1.250000000e+00	+0.000000000e+00	+6.114082263e-03	0.112302004
57	+1.250000000e+00	+0.000000000e+00	+6.606968339e-03	0.114305611
58	+1.250000000e+00	+0.000000000e+00	+7.099854415e-03	0.116309218
59	+1.250000000e+00	+0.000000000e+00	+7.592740491e-03	0.118312826
60	+1.250000000e+00	+0.000000000e+00	+8.085626568e-03	0.120316433
61	+1.250000000e+00	+0.000000000e+00	+8.578512644e-03	0.122320040
62	+1.250000000e+00	+0.000000000e+00	+9.071398720e-03	0.124323647
63	+1.250000000e+00	+0.000000000e+00	+9.564284796e-03	0.126327255
64	+1.250000000e+00	+0.000000000e+00	+1.005717087e-02	0.128330862
65	+1.250000000e+00	+0.000000000e+00	+1.055005695e-02	0.130334469
66	+1.250000000e+00	+0.000000000e+00	+1.104294302e-02	0.132338076
67	+1.250000000e+00	+0.000000000e+00	+1.153582910e-02	0.134341683
68	+1.250000000e+00	+0.000000000e+00	+1.202871518e-02	0.136345291
69	+1.250000000e+00	+0.000000000e+00	+1.252160125e-02	0.138348898
70	+1.250000000e+00	+0.000000000e+00	+1.301448733e-02	0.140352505
71	+1.250000000e+00	+0.000000000e+00	+1.350737341e-02	0.142356112
72	+1.250000000e+00	+0.000000000e+00	+1.400025948e-02	0.144359719
73	+1.250000000e+00	+0.000000000e+00	+1.449314556e-02	0.146363327
74	+1.250000000e+00	+0.000000000e+00	+1.498603163e-02	0.148366934
75	+1.250000000e+00	+0.000000000e+00	+1.547891771e-02	0.150370541
76	+1.250000000e+00	+0.000000000e+00	+1.597180379e-02	0.152374148
77	+1.250000000e+00	+0.000000000e+00	+1.646468986e-02	0.154377756
78	+1.250000000e+00	+0.000000000e+00	+1.695757594e-02	0.156381363
79	+1.250000000e+00	+0.000000000e+00	+1.745046201e-02	0.158384970
80	+1.250000000e+00	+0.000000000e+00	+1.794334809e-02	0.160388577
81	+1.250000000e+00	+0.000000000e+00	+1.843623417e-02	0.162392184
82	+1.250000000e+00	+0.000000000e+00	+1.892912024e-02	0.164395792
83	+1.250000000e+00	+0.000000000e+00	+1.942200632e-02	0.166399399
84	+1.250000000e+00	+0.000000000e+00	+1.991489240e-02	0.168403006
85	+1.250000000e+00	+0.000000000e+00	+2.040777847e-02	0.170406613
86	+1.250000000e+00	+0.000000000e+00	+2.090066455e-02	0.172410220
87	+1.250000000e+00	+0.000000000e+00	+2.139355062e-02	0.174413828
88	+1.250000000e+00	+0.000000000e+00	+2.188643670e-02	0.176417435
89	+1.250000000e+00	+0.000000000e+00	+2.237932278e-02	0.178421042
90	+1.250000000e+00	+0.000000000e+00	+2.287220885e-02	0.180424649
91	+1.250000000e+00	+0.000000000e+00	+2.336509493e-02	0.182428257
92	+1.250000000e+00	+0.000000000e+00	+2.385798101e-02	0.184431864
93	+1.250000000e+00	+0.000000000e+00	+2.435086708e-02	0.186435471
94	+1.250000000e+00	+0.000000000e+00	+2.484375316e-02	0.188439078
95	+1.250000000e+00	+0.000000000e+00	+2.533663923e-02	0.190442685
96	+1.250000000e+00	+0.000000000e+00	+2.582952531e-02	0.192446293
97	+1.250000000e+00	+0.000000000e+00	+2.632241139e-02	0.194449900
98	+1.250000000e+00	+0.000000000e+00	+2.681529746e-02	0.196453507
99	+1.250000000e+00	+0.000000000e+00	+2.730818354e-02	0.198457114
100	+1.250000000e+00	+0.000000000e+00	+2.780106961e-02	0.200460721
101	+1.250000000e+00	+0.000000000e+00	+2.829395569e-02	0.202464329
102	+1.250000000e+00	+0.000000000e+00	+2.878684177e-02	0.204467936
103	+1.250000000e+00	+0.000000000e+00	+2.927972784e-02	0.206471543
104	+1.250000000e+00	+0.000000000e+00	+2.977261392e-02	0.208475150
105	+1.250000000e+00	+0.000000000e+00	+3.026550000e-02	0.210478758
106	+1.250000000e+00	+0.000000000e+00	+3.075838607e-02	0.212482365
107	+1.250000000e+00	+0.000000000e+00	+3.125127215e-02	0.214485972
108	+1.250000000e+00	+0.000000000e+00	+3.174415822e-02	0.216489579
109	+1.250000000e+00	+0.000000000e+00	+3.223704430e-02	0.218493186
110	+1.250000000e+00	+0.000000000e+00	+3.272993038e-02	0.220496794
111	+1.250000000e+00	+0.000000000e+00	+3.322281645e-02	0.222500401
112	+1.250000000e+00	+0.000000000e+00	+3.371570253e-02	0.224504008
113	+1.250000000e+00	+0.000000000e+00	+3.420858860e-02	0.226507615
114	+1.250000000e+00	+0.000000000e+00	+3.470147468e-02	0.228511222
115	+1.250000000e+00	+0.000000000e+00	+3.519436076e-02	0.230514830
116	+1.250000000e+00	+0.000000000e+00	+3.568724683e-02	0.232518437
117	+1.250000000e+00	+0.000000000e+00	+3.618013291e-02	0.234522044
118	+1.250000000e+00	+0.000000000e+00	+3.667301899e-02	0.236525651
119	+1.250000000e+00	+0.000000000e+00	+3.716590506e-02	0.238529259
120	+1.250000000e+00	+0.000000000e+00	+3.765879114e-02	0.240532866
121	+1.250000000e+00	+0.000000000e+00	+3.815167721e-02	0.242536473
122	+1.250000000e+00	+0.000000000e+00	+3.864456329e-02	0.244540080
123	+1.250000000e+00	+0.000000000e+00	+3.913744937e-02	0.246543687
124	+1.250000000e+00	+0.000000000e+00	+3.963033544e-02	0.248547295
125	+1.250000060e+00	+0.000000000e+00	+4.018048111e-02	0.250550902
126	+1.250001501e+00	+0.000000000e+00	+4.090480433e-02	0.252554509
127	+1.250004850e+00	+0.000000000e+00	+4.163293948e-02	0.254558116
128	+1.250010092e+00	+0.000000000e+00	+4.236485182e-02	0.256561723
129	+1.250017212e+00	+0.000000000e+00	+4.310050657e-02	0.258565331
130	+1.250026193e+00	+0.000000000e+00	+4.383986896e-02	0.260568938
131	+1.250037022e+00	+0.000000000e+00	+4.458290422e-02	0.262572545
132	+1.250049681e+00	+0.000000000e+00	+4.532957758e-02	0.264576152
133	+1.250064156e+00	+0.000000000e+00	+4.607985429e-02	0.266579760
134	+1.250080431e+00	+0.000000000e+00	+4.683369956e-02	0.268583367
135	+1.250098491e+00	+0.000000000e+00	+4.759107863e-02	0.270586974
136	+1.250118321e+00	+0.000000000e+00	+4.835195673e-02	0.272590581
137	+1.250139904e+00	+0.000000000e+00	+4.911629910e-02	0.274594188
138	+1.250163225e+00	+0.000000000e+00	+4.988407097e-02	0.276597796
139	+1.250188270e+00	+0.000000000e+00	+5.065523756e-02	0.278601403
140	+1.250215022e+00	+0.000000000e+00	+5.142976411e-02	0.280605010
141	+1.250243466e+00	+0.000000000e+00	+5.220761585e-02	0.282608617
142	+1.250273587e+00	+0.000000000e+00	+5.298875802e-02	0.284612224
143	+1.250305368e+00	+0.000000000e+00	+5.377315584e-02	0.286615832
144	+1.250338796e+00	+0.000000000e+00	+5.456077454e-02	0.288619439
145	+1.250373854e+00	+0.000000000e+00	+5.535157937e-02	0.290623046
146	+1.250410526e+00	+0.000000000e+00	+5.614553555e-02	0.292626653
147	+1.250448798e+00	+0.000000000e+00	+5.694260830e-02	0.294630261
148	+1.250488654e+00	+0.000000000e+00	+5.774276288e-02	0.296633868
149	+1.250530078e+00	+0.000000000e+00	+5.854596449e-02	0.298637475
