"Point"	"x_coord"	"y_coord"	"z_coord"	"u"	"v"
0	+1.000023954e+00	-1.140180428e-04	+5.553487195e-06	0.000100000	0.000100000
1	+1.000020842e+00	-2.502158883e-03	+7.875017874e-05	0.002103607	0.000100000
2	+1.000012384e+00	-4.826134361e-03	+2.814226234e-04	0.004107214	0.000100000
3	+9.999991231e-01	-7.086372863e-03	+6.080026745e-04	0.006110822	0.000100000
4	+9.999816411e-01	-9.283304702e-03	+1.052921452e-03	0.008114429	0.000100000
5	+9.999605466e-01	-1.141736197e-02	+1.610608661e-03	0.010118036	0.000100000
6	+9.999364669e-01	-1.348897838e-02	+2.275491794e-03	0.012121643	0.000100000
7	+9.999100393e-01	-1.549858912e-02	+3.041995305e-03	0.014125251	0.000100000
8	+9.998819033e-01	-1.744663075e-02	+3.904539807e-03	0.016128858	0.000100000
9	+9.998526926e-01	-1.933354101e-02	+4.857541358e-03	0.018132465	0.000100000
10	+9.998230282e-01	-2.115975878e-02	+5.895410878e-03	0.020136072	0.000100000
11	+9.997935117e-01	-2.292572389e-02	+7.012553728e-03	0.022139679	0.000100000
12	+9.997647194e-01	-2.463187704e-02	+8.203369486e-03	0.024143287	0.000100000
13	+9.997371968e-01	-2.627865973e-02	+9.462251937e-03	0.026146894	0.000100000
14	+9.997114536e-01	-2.786651409e-02	+1.078358928e-02	0.028150501	0.000100000
15	+9.996879596e-01	-2.939588286e-02	+1.216176455e-02	0.030154108	0.000100000
16	+9.996671412e-01	-3.086720927e-02	+1.359115633e-02	0.032157715	0.000100000
17	+9.996493780e-01	-3.228093694e-02	+1.506613958e-02	0.034161323	0.000100000
18	+9.996350004e-01	-3.363750985e-02	+1.658108674e-02	0.036164930	0.000100000
19	+9.996242876e-01	-3.493737224e-02	+1.813036900e-02	0.038168537	0.000100000
20	+9.996174665e-01	-3.618096853e-02	+1.970835772e-02	0.040172144	0.000100000
21	+9.996147102e-01	-3.736874330e-02	+2.130942602e-02	0.042175752	0.000100000
22	+9.996161382e-01	-3.850114120e-02	+2.292795039e-02	0.044179359	0.000100000
23	+9.996218163e-01	-3.957860689e-02	+2.455831248e-02	0.046182966	0.000100000
24	+9.996317567e-01	-4.060158503e-02	+2.619490083e-02	0.048186573	0.000100000
25	+9.996459195e-01	-4.157052020e-02	+2.783211267e-02	0.050190180	0.000100000
26	+9.996642136e-01	-4.248585687e-02	+2.946435559e-02	0.052193788	0.000100000
27	+9.996864987e-01	-4.334803968e-02	+3.108605023e-02	0.054197395	0.000100000
28	+9.997125900e-01	-4.415754781e-02	+3.269174415e-02	0.056201002	0.000100000
29	+9.997423164e-01	-4.491551926e-02	+3.427815034e-02	0.058204609	0.000100000
30	+9.997755792e-01	-4.562419246e-02	+3.584558284e-02	0.060208216	0.000100000
31	+9.998122825e-01	-4.628592001e-02	+3.739473117e-02	0.062211824	0.000100000
32	+9.998523249e-01	-4.690305404e-02	+3.892628563e-02	0.064215431	0.000100000
33	+9.998956006e-01	-4.747794623e-02	+4.044093700e-02	0.066219038	0.000100000
34	+9.999419998e-01	-4.801294784e-02	+4.193937639e-02	0.068222645	0.000100000
35	+9.999914093e-01	-4.851040973e-02	+4.342229502e-02	0.070226253	0.000100000
36	+1.000043713e+00	-4.897268237e-02	+4.489038401e-02	0.072229860	0.000100000
37	+1.000098795e+00	-4.940211590e-02	+4.634433425e-02	0.074233467	0.000100000
38	+1.000156533e+00	-4.980106014e-02	+4.778483621e-02	0.076237074	0.000100000
39	+1.000216810e+00	-5.017186458e-02	+4.921257975e-02	0.078240681	0.000100000
40	+1.000279503e+00	-5.051687846e-02	+5.062825400e-02	0.080244289	0.000100000
41	+1.000344491e+00	-5.083845078e-02	+5.203254718e-02	0.082247896	0.000100000
42	+1.000411655e+00	-5.113893030e-02	+5.342614646e-02	0.084251503	0.000100000
43	+1.000480874e+00	-5.142066557e-02	+5.480973784e-02	0.086255110	0.000100000
44	+1.000552028e+00	-5.168600498e-02	+5.618400597e-02	0.088258717	0.000100000
45	+1.000624999e+00	-5.193729674e-02	+5.754963405e-02	0.090262325	0.000100000
46	+1.000699670e+00	-5.217688892e-02	+5.890730368e-02	0.092265932	0.000100000
47	+1.000775925e+00	-5.240712944e-02	+6.025769472e-02	0.094269539	0.000100000
48	+1.000853650e+00	-5.263036611e-02	+6.160148519e-02	0.096273146	0.000100000
49	+1.000932732e+00	-5.284894662e-02	+6.293935111e-02	0.098276754	0.000100000
50	+1.001013060e+00	-5.306521855e-02	+6.427196638e-02	0.100280361	0.000100000
51	+1.001094523e+00	-5.328152939e-02	+6.560000266e-02	0.102283968	0.000100000
52	+1.001177012e+00	-5.350022650e-02	+6.692412923e-02	0.104287575	0.000100000
53	+1.001260421e+00	-5.372365714e-02	+6.824501285e-02	0.106291182	0.000100000
54	+1.001344642e+00	-5.395416847e-02	+6.956331766e-02	0.108294790	0.000100000
55	+1.001429569e+00	-5.419410476e-02	+7.087970420e-02	0.110298397	0.000100000
56	+1.001515100e+00	-5.444569328e-02	+7.219479641e-02	0.112302004	0.000100000
57	+1.001601176e+00	-5.470990095e-02	+7.350885218e-02	0.114305611	0.000100000
58	+1.001687767e+00	-5.498663952e-02	+7.482182438e-02	0.116309218	0.000100000
59	+1.001774848e+00	-5.527578599e-02	+7.613365588e-02	0.118312826	0.000100000
60	+1.001862392e+00	-5.557721731e-02	+7.744428967e-02	0.120316433	0.000100000
61	+1.001950372e+00	-5.589081042e-02	+7.875366880e-02	0.122320040	0.000100000
62	+1.002038759e+00	-5.621644222e-02	+8.006173642e-02	0.124323647	0.000100000
63	+1.002127525e+00	-5.655398961e-02	+8.136843579e-02	0.126327255	0.000100000
64	+1.002216642e+00	-5.690332947e-02	+8.267371025e-02	0.128330862	0.000100000
65	+1.002306081e+00	-5.726433863e-02	+8.397750327e-02	0.130334469	0.000100000
66	+1.002395812e+00	-5.763689392e-02	+8.527975843e-02	0.132338076	0.000100000
67	+1.002485807e+00	-5.802087216e-02	+8.658041942e-02	0.134341683	0.000100000
68	+1.002576034e+00	-5.841615011e-02	+8.787943008e-02	0.136345291	0.000100000
69	+1.002666463e+00	-5.882260455e-02	+8.917673437e-02	0.138348898	0.000100000
70	+1.002757065e+00	-5.924011222e-02	+9.047227639e-02	0.140352505	0.000100000
71	+1.002847808e+00	-5.966854983e-02	+9.176600039e-02	0.142356112	0.000100000
72	+1.002938661e+00	-6.010779411e-02	+9.305785077e-02	0.144359719	0.000100000
73	+1.003029593e+00	-6.055772172e-02	+9.434777209e-02	0.146363327	0.000100000
74	+1.003120573e+00	-6.101820933e-02	+9.563570906e-02	0.148366934	0.000100000
75	+1.003211569e+00	-6.148913359e-02	+9.692160658e-02	0.150370541	0.000100000
76	+1.003302550e+00	-6.197037112e-02	+9.820540972e-02	0.152374148	0.000100000
77	+1.003393483e+00	-6.246179853e-02	+9.948706373e-02	0.154377756	0.000100000
78	+1.003484336e+00	-6.296329242e-02	+1.007665140e-01	0.156381363	0.000100000
79	+1.003575077e+00	-6.347472935e-02	+1.020437063e-01	0.158384970	0.000100000
80	+1.003665675e+00	-6.399598588e-02	+1.033185862e-01	0.160388577	0.000100000
81	+1.003756096e+00	-6.452693855e-02	+1.045911000e-01	0.162392184	0.000100000
82	+1.003846308e+00	-6.506746387e-02	+1.058611938e-01	0.164395792	0.000100000
83	+1.003936280e+00	-6.561743855e-02	+1.071288141e-01	0.166399399	0.000100000
84	+1.004025977e+00	-6.617674616e-02	+1.083939075e-01	0.168403006	0.000100000
85	+1.004115365e+00	-6.674530806e-02	+1.096564213e-01	0.170406613	0.000100000
86	+1.004204407e+00	-6.732306082e-02	+1.109163028e-01	0.172410220	0.000100000
87	+1.004293066e+00	-6.790994103e-02	+1.121734996e-01	0.174413828	0.000100000
88	+1.004381306e+00	-6.850588525e-02	+1.134279596e-01	0.176417435	0.000100000
89	+1.004469089e+00	-6.911083002e-02	+1.146796310e-01	0.178421042	0.000100000
90	+1.004556379e+00	-6.972471185e-02	+1.159284621e-01	0.180424649	0.000100000
91	+1.004643139e+00	-7.034746724e-02	+1.171744016e-01	0.182428257	0.000100000
92	+1.004729331e+00	-7.097903264e-02	+1.184173984e-01	0.184431864	0.000100000
93	+1.004814918e+00	-7.161934449e-02	+1.196574016e-01	0.186435471	0.000100000
94	+1.004899864e+00	-7.226833922e-02	+1.208943608e-01	0.188439078	0.000100000
95	+1.004984130e+00	-7.292595320e-02	+1.221282257e-01	0.190442685	0.000100000
96	+1.005067680e+00	-7.359212280e-02	+1.233589462e-01	0.192446293	0.000100000
97	+1.005150476e+00	-7.426678437e-02	+1.245864728e-01	0.194449900	0.000100000
98	+1.005232480e+00	-7.494987421e-02	+1.258107560e-01	0.196453507	0.000100000
99	+1.005313657e+00	-7.564132861e-02	+1.270317468e-01	0.198457114	0.000100000
100	+1.005393967e+00	-7.634108384e-02	+1.282493964e-01	0.200460721	0.000100000
101	+1.005473374e+00	-7.704907613e-02	+1.294636564e-01	0.202464329	0.000100000
102	+1.005551841e+00	-7.776524170e-02	+1.306744785e-01	0.204467936	0.000100000
103	+1.005629329e+00	-7.848951673e-02	+1.318818152e-01	0.206471543	0.000100000
104	+1.005705803e+00	-7.922183739e-02	+1.330856187e-01	0.208475150	0.000100000
105	+1.005781225e+00	-7.996213981e-02	+1.342858421e-01	0.210478758	0.000100000
106	+1.005855558e+00	-8.071036010e-02	+1.354824385e-01	0.212482365	0.000100000
107	+1.005928765e+00	-8.146643435e-02	+1.366753615e-01	0.214485972	0.000100000
108	+1.006000808e+00	-8.223029862e-02	+1.378645650e-01	0.216489579	0.000100000
109	+1.006071652e+00	-8.300188894e-02	+1.390500032e-01	0.218493186	0.000100000
110	+1.006141258e+00	-8.378114134e-02	+1.402316308e-01	0.220496794	0.000100000
111	+1.006209592e+00	-8.456799237e-02	+1.414094018e-01	0.222500401	0.000100000
112	+1.006276610e+00	-8.536240021e-02	+1.425832401e-01	0.224504008	0.000100000
113	+1.006342256e+00	-8.616438075e-02	+1.437529880e-01	0.226507615	0.000100000
114	+1.006406472e+00	-8.697396015e-02	+1.449184745e-01	0.228511222	0.000100000
115	+1.006469198e+00	-8.779116447e-02	+1.460795309e-01	0.230514830	0.000100000
116	+1.006530374e+00	-8.861601975e-02	+1.472359896e-01	0.232518437	0.000100000
117	+1.006589943e+00	-8.944855198e-02	+1.483876853e-01	0.234522044	0.000100000
118	+1.006647844e+00	-9.028878707e-02	+1.495344543e-01	0.236525651	0.000100000
119	+1.006704017e+00	-9.113675090e-02	+1.506761347e-01	0.238529259	0.000100000
120	+1.006758404e+00	-9.199246929e-02	+1.518125666e-01	0.240532866	0.000100000
121	+1.006810946e+00	-9.285596798e-02	+1.529435918e-01	0.242536473	0.000100000
122	+1.006861583e+00	-9.372727269e-02	+1.540690542e-01	0.244540080	0.000100000
123	+1.006910255e+00	-9.460640903e-02	+1.551887994e-01	0.246543687	0.000100000
124	+1.006956904e+00	-9.549340260e-02	+1.563026753e-01	0.248547295	0.000100000
125	+1.007001471e+00	-9.638827891e-02	+1.574105315e-01	0.250550902	0.000100000
126	+1.007043896e+00	-9.729106341e-02	+1.585122197e-01	0.252554509	0.000100000
127	+1.007084122e+00	-9.820178149e-02	+1.596075936e-01	0.254558116	0.000100000
